QUALITY COUNTS REPORT
=====================

Type:,Volume Data
Location:, Sears Point Rd (SR 37) E of Noble Rd (VSC + Gap)
Specific Location:, Sears Point Rd (SR 37) E of Noble Rd (VSC + Gap)
City/State:,Sonoma,CA
QCJobNo:,13715702
Direction:,EB
Comments:,


'===============================================================================================================================

Start Time,Mon,Tue,Wed,Thu,Fri,Average Weekday Hourly Traffic,Sat,Sun,Average Week Hourly Traffic
,,,,,30-Sep-16,,01-Oct-16,02-Oct-16,
12:00 AM,,,,,27,27,41,51,40,
12:15 AM,,,,,30,30,40,87,52,
12:30 AM,,,,,35,35,30,104,56,
12:45 AM,,,,,32,32,33,126,64,
1:00 AM,,,,,24,24,30,54,36,
1:15 AM,,,,,23,23,31,31,28,
1:30 AM,,,,,30,30,37,23,30,
1:45 AM,,,,,20,20,27,28,25,
2:00 AM,,,,,30,30,36,27,31,
2:15 AM,,,,,24,24,26,31,27,
2:30 AM,,,,,27,27,18,25,23,
2:45 AM,,,,,29,29,25,23,26,
3:00 AM,,,,,36,36,22,18,25,
3:15 AM,,,,,41,41,22,17,27,
3:30 AM,,,,,65,65,44,34,48,
3:45 AM,,,,,63,63,27,18,36,
4:00 AM,,,,,55,55,38,23,39,
4:15 AM,,,,,85,85,40,27,51,
4:30 AM,,,,,148,148,59,47,85,
4:45 AM,,,,,151,151,77,40,89,
5:00 AM,,,,,245,245,90,64,133,
5:15 AM,,,,,320,320,150,86,185,
5:30 AM,,,,,314,314,137,94,182,
5:45 AM,,,,,321,321,116,80,172,
6:00 AM,,,,,354,354,170,91,205,
6:15 AM,,,,,341,341,220,123,228,
6:30 AM,,,,,328,328,205,141,225,
6:45 AM,,,,,335,335,182,136,218,
7:00 AM,,,,,279,279,220,131,210,
7:15 AM,,,,,320,320,246,126,231,
7:30 AM,,,,,337,337,246,135,239,
7:45 AM,,,,,257,257,232,139,209,
8:00 AM,,,,,291,291,245,157,231,
8:15 AM,,,,,336,336,277,202,272,
8:30 AM,,,,,310,310,316,174,267,
8:45 AM,,,,,309,309,341,185,278,
9:00 AM,,,,,311,311,318,198,276,
9:15 AM,,,,,309,309,288,246,281,
9:30 AM,,,,,306,306,303,238,282,
9:45 AM,,,,,307,307,335,221,288,
10:00 AM,,,,,274,274,299,236,270,
10:15 AM,,,,,319,319,290,279,296,
10:30 AM,,,,,284,284,336,307,309,
10:45 AM,,,,,294,294,334,292,307,
11:00 AM,,,,,306,306,319,318,314,
11:15 AM,,,,,272,272,316,310,299,
11:30 AM,,,,,288,288,305,290,294,
11:45 AM,,,,,298,298,309,298,302,
12:00 PM,,,,,334,334,307,274,305,
12:15 PM,,,,,298,298,327,306,310,
12:30 PM,,,,,307,307,307,291,302,
12:45 PM,,,,,297,297,298,286,294,
1:00 PM,,,,,300,300,300,307,302,
1:15 PM,,,,,288,288,273,282,281,
1:30 PM,,,,,295,295,322,307,308,
1:45 PM,,,,,320,320,345,293,319,
2:00 PM,,,,,287,287,312,259,286,
2:15 PM,,,,,300,300,294,323,306,
2:30 PM,,,,,307,307,310,304,307,
2:45 PM,,,,,322,322,310,289,307,
3:00 PM,,,,,301,301,302,287,297,
3:15 PM,,,,,326,326,279,276,294,
3:30 PM,,,,,285,285,300,288,291,
3:45 PM,,,,,278,278,287,292,286,
4:00 PM,,,,,303,303,293,287,294,
4:15 PM,,,,,275,275,271,221,256,
4:30 PM,,,,,293,293,274,256,274,
4:45 PM,,,,,293,293,310,285,296,
5:00 PM,,,,,314,314,287,266,289,
5:15 PM,,,,,299,299,291,292,294,
5:30 PM,,,,,296,296,288,295,293,
5:45 PM,,,,,283,283,266,232,260,
6:00 PM,,,,,271,271,235,279,262,
6:15 PM,,,,,306,306,248,286,280,
6:30 PM,,,,,234,234,262,267,254,
6:45 PM,,,,,222,222,234,268,241,
7:00 PM,,,,,203,203,213,243,220,
7:15 PM,,,,,219,219,210,227,219,
7:30 PM,,,,,192,192,197,249,213,
7:45 PM,,,,,187,187,211,242,213,
8:00 PM,,,,,185,185,184,199,189,
8:15 PM,,,,,203,203,176,216,198,
8:30 PM,,,,,141,141,175,197,171,
8:45 PM,,,,,165,165,187,191,181,
9:00 PM,,,,,156,156,182,194,177,
9:15 PM,,,,,141,141,176,196,171,
9:30 PM,,,,,118,118,158,159,145,
9:45 PM,,,,,107,107,149,139,132,
10:00 PM,,,,,97,97,155,125,126,
10:15 PM,,,,,115,115,112,127,118,
10:30 PM,,,,,132,132,111,118,120,
10:45 PM,,,,,94,94,95,73,87,
11:00 PM,,,,,73,73,86,60,73,
11:15 PM,,,,,69,69,79,49,66,
11:30 PM,,,,,68,68,60,53,60,
11:45 PM,,,,,72,72,56,47,58,
Day Total,,,,,20511,20511,18952,17133,18866,
ADT,,,,,20511,20511,18952,17133,18866,

%Weekday Average,,,,,100.0%,,,,,
%Week Average,,,,,108.7%,108.72%,100.5%,90.8%,,

AM Peak,,,,,6:00 AM,6:00 AM,8:45 AM,11:00 AM,11:00 AM,
Volume,,,,,354,354,341,318,314,

PM Peak,,,,,12:00 PM,12:00 PM,1:45 PM,2:15 PM,1:45 PM,
Volume,,,,,334,334,345,323,319,

'===============================================================================================================================

Start Time,Mon,Tue,Wed,Thu,Fri,Average Weekday Hourly Traffic,Sat,Sun,Average Week Hourly Traffic
,03-Oct-16,04-Oct-16,05-Oct-16,06-Oct-16,,,,,
12:00 AM,37,25,41,34,,34,,,34,
12:15 AM,29,28,37,46,,35,,,35,
12:30 AM,42,24,30,40,,34,,,34,
12:45 AM,41,24,26,41,,33,,,33,
1:00 AM,19,23,30,31,,26,,,26,
1:15 AM,29,26,17,19,,23,,,23,
1:30 AM,22,21,35,40,,30,,,30,
1:45 AM,23,16,17,15,,18,,,18,
2:00 AM,10,20,15,14,,15,,,15,
2:15 AM,27,22,14,23,,22,,,22,
2:30 AM,21,25,31,30,,27,,,27,
2:45 AM,39,36,33,16,,31,,,31,
3:00 AM,29,33,24,24,,28,,,28,
3:15 AM,32,45,35,35,,37,,,37,
3:30 AM,68,61,58,64,,63,,,63,
3:45 AM,53,73,58,67,,63,,,63,
4:00 AM,55,61,63,60,,60,,,60,
4:15 AM,93,84,101,74,,88,,,88,
4:30 AM,148,155,147,139,,147,,,147,
4:45 AM,184,178,154,206,,181,,,181,
5:00 AM,267,241,238,230,,244,,,244,
5:15 AM,313,347,309,363,,333,,,333,
5:30 AM,350,338,366,340,,349,,,349,
5:45 AM,343,324,337,338,,336,,,336,
6:00 AM,332,349,330,334,,336,,,336,
6:15 AM,321,328,341,340,,333,,,333,
6:30 AM,339,340,339,333,,338,,,338,
6:45 AM,321,331,316,349,,329,,,329,
7:00 AM,318,321,312,330,,320,,,320,
7:15 AM,312,294,311,283,,300,,,300,
7:30 AM,287,295,342,322,,312,,,312,
7:45 AM,300,293,279,316,,297,,,297,
8:00 AM,279,318,270,324,,298,,,298,
8:15 AM,276,291,275,308,,288,,,288,
8:30 AM,313,336,286,277,,303,,,303,
8:45 AM,293,296,295,301,,296,,,296,
9:00 AM,318,295,285,306,,301,,,301,
9:15 AM,287,300,288,265,,285,,,285,
9:30 AM,287,310,337,280,,304,,,304,
9:45 AM,268,281,318,299,,292,,,292,
10:00 AM,240,270,300,323,,283,,,283,
10:15 AM,267,291,259,307,,281,,,281,
10:30 AM,280,273,333,268,,289,,,289,
10:45 AM,261,330,272,230,,273,,,273,
11:00 AM,261,292,304,287,,286,,,286,
11:15 AM,249,279,255,282,,266,,,266,
11:30 AM,259,245,275,289,,267,,,267,
11:45 AM,242,213,251,292,,250,,,250,
12:00 PM,255,218,209,260,,236,,,236,
12:15 PM,238,195,240,291,,241,,,241,
12:30 PM,245,220,241,292,,250,,,250,
12:45 PM,241,215,263,280,,250,,,250,
1:00 PM,256,219,250,268,,248,,,248,
1:15 PM,242,250,248,278,,255,,,255,
1:30 PM,228,249,243,286,,252,,,252,
1:45 PM,265,247,257,303,,268,,,268,
2:00 PM,275,246,242,289,,263,,,263,
2:15 PM,287,252,264,296,,275,,,275,
2:30 PM,257,231,277,262,,257,,,257,
2:45 PM,243,245,306,300,,274,,,274,
3:00 PM,231,276,264,258,,257,,,257,
3:15 PM,244,260,283,283,,268,,,268,
3:30 PM,248,231,256,286,,255,,,255,
3:45 PM,225,242,277,256,,250,,,250,
4:00 PM,230,232,258,272,,248,,,248,
4:15 PM,236,224,253,288,,250,,,250,
4:30 PM,251,239,258,304,,263,,,263,
4:45 PM,260,293,297,314,,291,,,291,
5:00 PM,255,260,256,277,,262,,,262,
5:15 PM,257,259,268,281,,266,,,266,
5:30 PM,243,252,249,283,,257,,,257,
5:45 PM,224,225,240,224,,228,,,228,
6:00 PM,203,184,222,242,,213,,,213,
6:15 PM,228,224,169,247,,217,,,217,
6:30 PM,176,188,174,205,,186,,,186,
6:45 PM,171,147,191,181,,173,,,173,
7:00 PM,131,126,131,151,,135,,,135,
7:15 PM,116,118,116,152,,126,,,126,
7:30 PM,128,123,149,166,,142,,,142,
7:45 PM,113,121,128,164,,132,,,132,
8:00 PM,90,97,93,117,,99,,,99,
8:15 PM,105,95,110,118,,107,,,107,
8:30 PM,78,120,96,132,,107,,,107,
8:45 PM,84,118,104,136,,111,,,111,
9:00 PM,104,86,106,108,,101,,,101,
9:15 PM,98,92,114,135,,110,,,110,
9:30 PM,109,97,129,100,,109,,,109,
9:45 PM,66,82,99,81,,82,,,82,
10:00 PM,86,93,83,77,,85,,,85,
10:15 PM,76,105,106,145,,108,,,108,
10:30 PM,86,66,69,83,,76,,,76,
10:45 PM,62,57,55,77,,63,,,63,
11:00 PM,45,56,49,71,,55,,,55,
11:15 PM,35,45,46,48,,44,,,44,
11:30 PM,48,37,39,40,,41,,,41,
11:45 PM,34,38,45,29,,37,,,37,
Day Total,17592,17696,18211,19270,,18207,,,18207,
ADT,17592,17696,18211,19270,,18207,,,18207,

%Weekday Average,85.8%,97.2%,100.0%,105.8%,,,,,,
%Week Average,93.2%,97.2%,100.0%,105.8%,,100.00%,,,,

AM Peak,5:30 AM,6:00 AM,5:30 AM,5:15 AM,,5:30 AM,,,5:30 AM,
Volume,350,349,366,363,,349,,,349,

PM Peak,2:15 PM,4:45 PM,2:45 PM,4:45 PM,,4:45 PM,,,4:45 PM,
Volume,287,293,306,314,,291,,,291,
