QUALITY COUNTS REPORT
=====================

Type:,Volume Data
Location:, Sears Point Rd (SR 37) E of Noble Rd (VSC + Gap)
Specific Location:, Sears Point Rd (SR 37) E of Noble Rd (VSC + Gap)
City/State:,Sonoma,CA
QCJobNo:,13715702
Direction:,EB/WB
Comments:,


'===============================================================================================================================

Start Time,Mon,Tue,Wed,Thu,Fri,Average Weekday Hourly Traffic,Sat,Sun,Average Week Hourly Traffic
,,,,,30-Sep-16,,01-Oct-16,02-Oct-16,
12:00 AM,,,,,118,118,153,178,150,
12:15 AM,,,,,98,98,124,182,135,
12:30 AM,,,,,98,98,101,174,124,
12:45 AM,,,,,93,93,99,208,133,
1:00 AM,,,,,58,58,94,124,92,
1:15 AM,,,,,67,67,82,75,75,
1:30 AM,,,,,59,59,80,80,73,
1:45 AM,,,,,64,64,75,66,68,
2:00 AM,,,,,65,65,69,74,69,
2:15 AM,,,,,53,53,63,60,59,
2:30 AM,,,,,52,52,61,42,52,
2:45 AM,,,,,46,46,53,59,53,
3:00 AM,,,,,57,57,48,52,52,
3:15 AM,,,,,72,72,55,47,58,
3:30 AM,,,,,96,96,74,64,78,
3:45 AM,,,,,103,103,70,52,75,
4:00 AM,,,,,90,90,69,48,69,
4:15 AM,,,,,119,119,76,55,83,
4:30 AM,,,,,199,199,102,64,122,
4:45 AM,,,,,215,215,124,62,134,
5:00 AM,,,,,308,308,137,85,177,
5:15 AM,,,,,411,411,212,127,250,
5:30 AM,,,,,400,400,189,130,240,
5:45 AM,,,,,458,458,184,134,259,
6:00 AM,,,,,498,498,246,162,302,
6:15 AM,,,,,547,547,336,187,357,
6:30 AM,,,,,553,553,327,229,370,
6:45 AM,,,,,525,525,319,216,353,
7:00 AM,,,,,501,501,386,223,370,
7:15 AM,,,,,565,565,432,236,411,
7:30 AM,,,,,588,588,423,238,416,
7:45 AM,,,,,518,518,444,288,417,
8:00 AM,,,,,538,538,463,279,427,
8:15 AM,,,,,583,583,522,353,486,
8:30 AM,,,,,557,557,564,359,493,
8:45 AM,,,,,574,574,616,367,519,
9:00 AM,,,,,566,566,557,387,503,
9:15 AM,,,,,557,557,568,481,535,
9:30 AM,,,,,562,562,589,429,527,
9:45 AM,,,,,577,577,596,459,544,
10:00 AM,,,,,530,530,611,479,540,
10:15 AM,,,,,560,560,536,540,545,
10:30 AM,,,,,565,565,646,596,602,
10:45 AM,,,,,565,565,645,603,604,
11:00 AM,,,,,599,599,650,646,632,
11:15 AM,,,,,548,548,606,633,596,
11:30 AM,,,,,572,572,620,605,599,
11:45 AM,,,,,609,609,634,615,619,
12:00 PM,,,,,630,630,589,620,613,
12:15 PM,,,,,613,613,648,636,632,
