QUALITY COUNTS REPORT
=====================

Type:,Volume Data
Location:, Sears Point Rd (SR 37) E of Noble Rd (VSC + Gap)
Specific Location:, Sears Point Rd (SR 37) E of Noble Rd (VSC + Gap)
City/State:,Sonoma,CA
QCJobNo:,13715702
Direction:,WB
Comments:,


'===============================================================================================================================

Start Time,Mon,Tue,Wed,Thu,Fri,Average Weekday Hourly Traffic,Sat,Sun,Average Week Hourly Traffic
,,,,,30-Sep-16,,01-Oct-16,02-Oct-16,
12:00 AM,,,,,91,91,112,127,110,
12:15 AM,,,,,68,68,84,95,82,
12:30 AM,,,,,63,63,71,70,68,
12:45 AM,,,,,61,61,66,82,70,
1:00 AM,,,,,34,34,64,70,56,
1:15 AM,,,,,44,44,51,44,46,
1:30 AM,,,,,29,29,43,57,43,
1:45 AM,,,,,44,44,48,38,43,
2:00 AM,,,,,35,35,33,47,38,
2:15 AM,,,,,29,29,37,29,32,
2:30 AM,,,,,25,25,43,17,28,
2:45 AM,,,,,17,17,28,36,27,
3:00 AM,,,,,21,21,26,34,27,
3:15 AM,,,,,31,31,33,30,31,
3:30 AM,,,,,31,31,30,30,30,
3:45 AM,,,,,40,40,43,34,39,
4:00 AM,,,,,35,35,31,25,30,
4:15 AM,,,,,34,34,36,28,33,
4:30 AM,,,,,51,51,43,17,37,
4:45 AM,,,,,64,64,47,22,44,
5:00 AM,,,,,63,63,47,21,44,
5:15 AM,,,,,91,91,62,41,65,
5:30 AM,,,,,86,86,52,36,58,
5:45 AM,,,,,137,137,68,54,86,
6:00 AM,,,,,144,144,76,71,97,
6:15 AM,,,,,206,206,116,64,129,
6:30 AM,,,,,225,225,122,88,145,
6:45 AM,,,,,190,190,137,80,136,
7:00 AM,,,,,222,222,166,92,160,
7:15 AM,,,,,245,245,186,110,180,
7:30 AM,,,,,251,251,177,103,177,
7:45 AM,,,,,261,261,212,149,207,
8:00 AM,,,,,247,247,218,122,196,
8:15 AM,,,,,247,247,245,151,214,
8:30 AM,,,,,247,247,248,185,227,
8:45 AM,,,,,265,265,275,182,241,
9:00 AM,,,,,255,255,239,189,228,
9:15 AM,,,,,248,248,280,235,254,
9:30 AM,,,,,256,256,286,191,244,
9:45 AM,,,,,270,270,261,238,256,
10:00 AM,,,,,256,256,312,243,270,
10:15 AM,,,,,241,241,246,261,249,
10:30 AM,,,,,281,281,310,289,293,
10:45 AM,,,,,271,271,311,311,298,
11:00 AM,,,,,293,293,331,328,317,
11:15 AM,,,,,276,276,290,323,296,
11:30 AM,,,,,284,284,315,315,305,
11:45 AM,,,,,311,311,325,317,318,
12:00 PM,,,,,296,296,282,346,308,
12:15 PM,,,,,315,315,321,330,322,
12:30 PM,,,,,318,318,325,347,330,
12:45 PM,,,,,329,329,312,312,318,
1:00 PM,,,,,334,334,288,333,318,
1:15 PM,,,,,352,352,344,325,340,
1:30 PM,,,,,338,338,322,329,330,
1:45 PM,,,,,363,363,317,282,321,
2:00 PM,,,,,348,348,332,345,342,
2:15 PM,,,,,344,344,389,342,358,
2:30 PM,,,,,316,316,367,296,326,
2:45 PM,,,,,335,335,323,284,314,
3:00 PM,,,,,231,231,293,300,275,
3:15 PM,,,,,318,318,318,300,312,
3:30 PM,,,,,337,337,332,325,331,
3:45 PM,,,,,336,336,340,315,330,
4:00 PM,,,,,260,260,335,299,298,
4:15 PM,,,,,263,263,247,311,274,
4:30 PM,,,,,271,271,296,284,284,
4:45 PM,,,,,308,308,303,240,284,
5:00 PM,,,,,312,312,304,293,303,
5:15 PM,,,,,323,323,304,324,317,
5:30 PM,,,,,329,329,322,319,323,
5:45 PM,,,,,322,322,330,313,322,
6:00 PM,,,,,326,326,321,299,315,
6:15 PM,,,,,353,353,330,308,330,
6:30 PM,,,,,305,305,314,330,316,
6:45 PM,,,,,314,314,342,313,323,
7:00 PM,,,,,332,332,335,271,313,
7:15 PM,,,,,300,300,276,259,278,
7:30 PM,,,,,283,283,289,262,278,
7:45 PM,,,,,289,289,284,267,280,
8:00 PM,,,,,279,279,286,263,276,
8:15 PM,,,,,309,309,309,269,296,
8:30 PM,,,,,277,277,290,251,273,
8:45 PM,,,,,205,205,226,253,228,
9:00 PM,,,,,191,191,205,222,206,
9:15 PM,,,,,196,196,165,233,198,
9:30 PM,,,,,187,187,271,159,206,
9:45 PM,,,,,172,172,184,147,168,
10:00 PM,,,,,175,175,191,168,178,
10:15 PM,,,,,153,153,180,159,164,
10:30 PM,,,,,179,179,188,147,171,
10:45 PM,,,,,147,147,179,90,139,
11:00 PM,,,,,141,141,138,80,120,
11:15 PM,,,,,165,165,157,112,145,
11:30 PM,,,,,138,138,147,80,122,
11:45 PM,,,,,116,116,112,71,100,
Day Total,,,,,20346,20346,20247,18228,19607,
