Day,Lane,Time,Speed,Length,class,Headway,Direction
15,1,9:00:42 AM,61.7,11.3,2,101.3,NB
15,1,9:00:46 AM,64,16.4,2,4.7,NB
15,1,9:01:09 AM,61.6,49.7,4,22.4,NB
15,1,9:02:19 AM,57.6,12.9,2,69.9,NB
15,1,9:02:25 AM,62.9,17.5,2,6.5,NB
15,1,9:02:34 AM,65.4,14.9,2,8.7,NB
15,1,9:03:05 AM,65.4,14.4,2,31.5,NB
15,1,9:03:36 AM,SnMis,Info:,4,30.8,NB
15,1,9:04:06 AM,66.6,14.6,2,29.5,NB
15,1,9:05:34 AM,66.7,14.4,2,88.4,NB
15,1,9:05:46 AM,59.5,50.1,4,12,NB
15,1,9:06:01 AM,72.4,12.8,2,15.1,NB
15,1,9:08:27 AM,61.8,13.2,2,146.3,NB
15,1,9:08:38 AM,62.9,14.8,2,10.5,NB
15,1,9:08:55 AM,69.4,10.5,2,16.6,NB
15,1,9:08:58 AM,69.5,14.3,2,3.2,NB
15,1,9:09:36 AM,65.3,40.8,4,38.2,NB
15,1,9:10:30 AM,68,17.5,2,54.4,NB
15,1,9:10:58 AM,69.3,16.4,2,27.5,NB
15,1,9:12:18 AM,66.7,14.1,2,79.9,NB
15,1,9:13:56 AM,68.2,15.7,2,98.2,NB
15,1,9:14:12 AM,63,14.1,2,16.1,NB
15,1,9:14:17 AM,61.6,15.2,2,4.8,NB
15,1,9:14:51 AM,71,13.3,2,34.2,NB
15,1,9:15:48 AM,61.7,16.6,2,56.4,NB
15,1,9:15:50 AM,61.8,13.5,2,2.4,NB
15,1,9:15:59 AM,70.8,16.6,2,9.4,NB
15,1,9:16:00 AM,67.9,11.6,2,0.8,NB
15,1,9:16:26 AM,55.5,54.7,4,26.1,NB
15,1,9:16:29 AM,54.7,17.2,2,2.3,NB
15,1,9:16:31 AM,49.8,12.2,2,2.3,NB
15,1,9:17:14 AM,63,15.4,2,43.4,NB
15,1,9:17:48 AM,68,14.1,2,34.1,NB
15,1,9:17:52 AM,67.9,34.8,4,3.1,NB
15,1,9:18:41 AM,58.5,17.3,2,49.8,NB
15,1,9:19:09 AM,68.2,14.9,2,27.3,NB
15,1,9:19:33 AM,66.6,12.1,2,24.8,NB
15,1,9:20:01 AM,60.5,45.7,4,27.4,NB
15,1,9:20:09 AM,58.5,39.6,4,8.2,NB
15,1,9:20:11 AM,58.6,15.4,2,1.9,NB
15,1,9:20:25 AM,61.6,12.8,2,13.7,NB
15,1,9:20:35 AM,64.1,15.4,2,10.7,NB
15,1,9:20:46 AM,64.2,13.5,2,10.7,NB
15,1,9:21:11 AM,69.6,15.6,2,25.4,NB
15,1,9:22:07 AM,66.7,14.6,2,55.3,NB
15,1,9:23:04 AM,70.8,15.4,2,57.4,NB
15,1,9:23:14 AM,62.8,12.6,2,9.8,NB
15,1,9:23:43 AM,66.7,14.3,2,29.1,NB
15,1,9:24:46 AM,61.8,41.8,4,63,NB
15,1,9:24:49 AM,65.2,10.6,2,2.6,NB
15,1,9:24:57 AM,61.7,12.5,2,8.8,NB
15,1,9:24:58 AM,SnMis,Info:,4,0.5,NB
15,1,9:25:25 AM,65.4,15.3,2,26.8,NB
15,1,9:26:22 AM,61.7,12.8,2,57.5,NB
15,1,9:27:31 AM,68,37.9,4,68.8,NB
15,1,9:27:55 AM,68,13.9,2,23.9,NB
15,1,9:28:48 AM,55.4,2,2,52.6,NB
15,1,9:28:51 AM,57.4,17.9,2,3.5,NB
15,1,9:28:53 AM,57.4,32.2,4,2.1,NB
15,1,9:28:55 AM,56.5,10,2,1.6,NB
15,1,9:28:56 AM,55.5,36.4,4,1.8,NB
15,1,9:29:01 AM,65.3,41.1,4,4.8,NB
15,1,9:29:04 AM,68,15.7,2,2.5,NB
15,1,9:29:05 AM,68,14.9,2,1.7,NB
15,1,9:29:32 AM,65.3,15.2,2,26.6,NB
15,1,9:29:36 AM,70.9,14.9,2,3.6,NB
15,1,9:30:40 AM,54.7,15.7,2,64.5,NB
15,1,9:32:08 AM,68,40.5,4,87.6,NB
15,1,9:32:21 AM,70.9,13.3,2,13.3,NB
15,1,9:32:41 AM,66.6,14,2,19.7,NB
15,1,9:33:05 AM,68.1,14.4,2,24,NB
15,1,9:34:14 AM,69.5,13.4,2,69,NB
15,1,9:35:06 AM,55.5,17.5,2,52,NB
15,1,9:35:56 AM,56.5,12.9,2,49.8,NB
15,1,9:35:57 AM,54.6,13.9,2,1.6,NB
15,1,9:35:59 AM,58.6,16.9,2,2,NB
15,1,9:36:01 AM,57.6,15.4,2,1.5,NB
15,1,9:36:02 AM,56.6,15.4,2,1.7,NB
15,1,9:36:04 AM,53.9,13.7,2,1.9,NB
15,1,9:38:13 AM,52.9,52,4,129.1,NB
15,1,9:38:16 AM,53.7,13.6,2,2.8,NB
15,1,9:38:19 AM,55.6,14.4,2,2.9,NB
15,1,9:39:20 AM,69.5,14.2,2,61.4,NB
15,1,9:39:35 AM,SnMis,Info:,4,14.7,NB
15,1,9:39:51 AM,69.3,16.3,2,16.2,NB
15,1,9:40:03 AM,69.3,15.3,2,11.7,NB
15,1,9:40:44 AM,69.5,14.6,2,41,NB
15,1,9:41:39 AM,61.8,12.2,2,55.2,NB
15,1,9:41:46 AM,59.5,14.2,2,7.2,NB
15,1,9:41:48 AM,60.6,16.1,2,1.6,NB
15,1,9:42:47 AM,61.6,33.6,4,59.6,NB
15,1,9:42:53 AM,64,49.4,4,5.2,NB
15,1,9:43:20 AM,61.6,32.6,4,26.9,NB
15,1,9:43:22 AM,66.6,18.4,2,2.4,NB
15,1,9:43:35 AM,59.5,15.1,2,12.9,NB
15,1,9:43:57 AM,60.5,11.9,2,22.4,NB
15,1,9:43:58 AM,60.5,28.6,4,1.2,NB
15,1,9:44:00 AM,62.8,13.9,2,1.6,NB
15,1,9:44:02 AM,65.4,15.3,2,2.1,NB
15,1,9:44:49 AM,66.7,15.4,2,47.1,NB
15,1,9:44:58 AM,69.3,17.8,2,9.1,NB
15,1,9:45:38 AM,68,17.8,2,40.1,NB
15,1,9:47:29 AM,75.7,14.5,2,111,NB
15,1,9:47:44 AM,74.1,13.8,2,14.9,NB
15,1,9:48:06 AM,70.8,12.9,2,21.7,NB
15,1,9:48:52 AM,64.1,13.3,2,46,NB
15,1,9:50:00 AM,66.6,17.2,2,67.5,NB
