Day,Lane,Time,Speed,Length,class,Headway,Direction
15,2,9:00:49 AM,65.4,14.3,2,99.29,SB
15,2,9:01:49 AM,70.8,15.9,2,60.81,SB
15,2,9:02:51 AM,65.3,13,2,61.6,SB
15,2,9:03:06 AM,72.4,15.1,2,14.98,SB
15,2,9:03:37 AM,69.3,14.1,2,30.75,SB
15,2,9:04:14 AM,73.8,10.9,2,36.76,SB
15,2,9:04:52 AM,66.6,16.9,2,38.25,SB
15,2,9:04:54 AM,59.5,38.1,4,2.3,SB
15,2,9:05:03 AM,65.3,15.3,2,8.64,SB
15,2,9:05:10 AM,66.6,13.5,2,7.15,SB
15,2,9:05:53 AM,66.5,12.2,2,43.28,SB
15,2,9:06:03 AM,67.9,13.2,2,9.37,SB
15,2,9:06:05 AM,69.4,42.9,4,2.6,SB
15,2,9:06:57 AM,62.9,12.1,2,52.01,SB
15,2,9:07:05 AM,61.8,15.5,2,7.68,SB
15,2,9:08:02 AM,72.6,14.9,2,56.71,SB
15,2,9:08:11 AM,66.6,15.7,2,9.01,SB
15,2,9:09:53 AM,66.7,12.9,2,102.02,SB
15,2,9:10:19 AM,72.6,16.6,2,26.82,SB
15,2,9:10:32 AM,66.7,13.8,2,12.35,SB
15,2,9:11:05 AM,62.8,38.7,4,33.7,SB
15,2,9:12:14 AM,69.5,14,2,68.81,SB
15,2,9:13:37 AM,70.9,14.6,2,82.34,SB
15,2,9:13:43 AM,66.5,20,2,6.1,SB
15,2,9:14:21 AM,60.5,16.4,2,38.47,SB
15,2,9:14:59 AM,62.9,57.9,4,37.71,SB
15,2,9:16:02 AM,68,16,2,63.23,SB
15,2,9:16:06 AM,65.4,14.9,2,3.69,SB
15,2,9:16:17 AM,66.6,12.4,2,10.93,SB
15,2,9:17:11 AM,64,11.4,2,54.2,SB
15,2,9:17:42 AM,58.4,17.4,2,31.45,SB
15,2,9:18:01 AM,64,11.5,2,18.73,SB
15,2,9:18:28 AM,59.5,13.1,2,27.35,SB
15,2,9:18:30 AM,61.8,13.4,2,1.9,SB
15,2,9:18:44 AM,61.8,13.4,2,13.72,SB
15,2,9:18:49 AM,62.8,39.3,4,4.5,SB
15,2,9:19:13 AM,59.5,13.6,2,24.63,SB
15,2,9:19:36 AM,65.3,11.8,2,23.07,SB
15,2,9:20:20 AM,66.5,12.1,2,43.49,SB
15,2,9:20:44 AM,59.5,13,2,24.65,SB
15,2,9:22:46 AM,70.8,15.1,2,121.99,SB
15,2,9:24:09 AM,62.9,14.7,2,82.8,SB
15,2,9:24:20 AM,66.6,12.7,2,11.05,SB
15,2,9:24:25 AM,65.2,13.3,2,4.85,SB
15,2,9:25:23 AM,66.5,70,4,58.29,SB
15,2,9:26:02 AM,56.6,13.8,2,38.41,SB
15,2,9:26:03 AM,57.5,13,2,1.09,SB
15,2,9:26:30 AM,56.5,39.1,4,27.08,SB
15,2,9:26:50 AM,62.8,16.5,2,19.75,SB
15,2,9:27:37 AM,64,15.2,2,47.18,SB
15,2,9:27:48 AM,62.9,15.1,2,11.38,SB
15,2,9:28:02 AM,59.5,12.5,2,13.62,SB
15,2,9:28:15 AM,72.3,15.5,2,12.91,SB
15,2,9:28:17 AM,53.7,9.6,2,1.97,SB
15,2,9:28:27 AM,66.5,11.4,2,10.14,SB
15,2,9:28:48 AM,SnMis,Info:,4,20.86,SB
15,2,9:29:52 AM,46.9,9.5,2,64.04,SB
15,2,9:30:16 AM,60.5,15.8,2,24.08,SB
15,2,9:30:40 AM,69.3,14.3,2,23.96,SB
15,2,9:31:35 AM,73.8,14.8,2,55.27,SB
15,2,9:32:28 AM,62.8,69.9,4,52.73,SB
15,2,9:32:32 AM,61.8,13.4,2,4.26,SB
15,2,9:33:15 AM,66.6,14.1,2,42.44,SB
15,2,9:33:38 AM,62.8,16.5,2,23.54,SB
15,2,9:33:39 AM,61.7,13.1,2,0.88,SB
15,2,9:34:16 AM,67.9,50.9,4,37.04,SB
15,2,9:35:18 AM,62.8,17.8,2,61.96,SB
15,2,9:35:28 AM,63.9,15.6,2,10.09,SB
15,2,9:35:29 AM,SnMis,Info:,4,0.48,SB
15,2,9:35:31 AM,62.9,15,2,2.86,SB
15,2,9:36:16 AM,65.4,13.3,2,45.04,SB
15,2,9:36:46 AM,66.7,14.1,2,30.03,SB
15,2,9:37:02 AM,62.8,26.5,4,15.9,SB
15,2,9:38:10 AM,65.3,10.9,2,67.72,SB
15,2,9:38:36 AM,65.3,16.9,2,26.14,SB
15,2,9:38:41 AM,64.1,12.9,2,5.23,SB
15,2,9:38:43 AM,69.3,14.5,2,1.35,SB
15,2,9:39:35 AM,64.2,14.2,2,52.35,SB
15,2,9:40:24 AM,53.7,13.6,2,48.75,SB
15,2,9:40:38 AM,68,13.1,2,14.51,SB
15,2,9:41:10 AM,74,12.5,2,31.83,SB
15,2,9:41:26 AM,65.2,45.2,4,15.76,SB
15,2,9:42:26 AM,53.7,43.6,4,59.6,SB
15,2,9:42:28 AM,52,44.4,4,2.18,SB
15,2,9:42:34 AM,53.7,14,2,6.17,SB
15,2,9:43:00 AM,61.6,12.3,2,25.85,SB
15,2,9:43:02 AM,67.9,15.9,2,2.47,SB
15,2,9:43:33 AM,59.5,16.7,2,30.74,SB
15,2,9:43:53 AM,61.6,41.5,4,19.67,SB
15,2,9:43:54 AM,61.6,10,2,1.25,SB
15,2,9:45:07 AM,64,14.8,2,73.01,SB
15,2,9:45:08 AM,62.9,13.3,2,1.16,SB
15,2,9:45:26 AM,68,12.9,2,18.08,SB
15,2,9:45:41 AM,63.9,13,2,14.72,SB
15,2,9:45:53 AM,68,13.4,2,12.04,SB
15,2,9:46:11 AM,65.2,69.1,4,18.48,SB
15,2,9:46:29 AM,67.9,14.7,2,17.05,SB
15,2,9:46:52 AM,68,14.2,2,23.67,SB
15,2,9:46:58 AM,55.5,13.3,2,5.8,SB
