  Data For Station: 43050050M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,Time,Lane,Speed,Axles,Length,A Bin,S Bin,L Bin,G Bin,H Bin,1_2,2_3,3_4,4_5,5_6,6_7,7_8,8_9,9_10,10_11,11_12,12_13,13 - 14,14 - 15,15 - 16,L1 Class,Mods,ID64,ID16,Samp,Change,L2 Class,Mods,ID64,ID16,Samp,Change,S.V.M.
,7/12/2014,0:05:53.00,1,56.4,3,23.9,3,8,3,8,8,12.1,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,0:08:46.50,1,51.3,2,12.2,3,8,2,2,2,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,0:08:48.35,1,52.3,2,10.2,3,10,2,7,7,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,0:10:42.07,1,58.8,2,8.2,2,9,2,8,8,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,0:14:30.78,1,58.2,2,9.6,2,9,2,6,6,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,0:19:37.63,1,53.3,2,10.6,3,9,2,7,7,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,0:22:26.38,1,46.6,2,9.2,2,9,2,2,2,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,0:22:48.63,1,44.7,2,10.9,3,9,2,8,8,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,0:27:21.35,1,54.4,2,12.7,3,11,2,8,8,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,0:42:11.92,1,55.5,2,11,3,10,2,8,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,0:42:56.96,1,59.2,2,9.3,2,9,2,2,2,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,0:46:26.44,1,54.6,2,11.9,3,9,2,1,1,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,0:50:48.75,1,52.8,2,12.2,3,9,2,4,4,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,1:01:09.92,1,65.2,2,9.9,2,10,2,8,8,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,1:01:32.42,1,57.8,2,8.3,2,9,2,8,8,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,1:11:03.62,1,57.8,2,9.1,2,9,2,2,2,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,1:11:59.65,1,55.5,2,9.2,2,9,2,1,1,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,1:14:12.35,1,52,2,8.8,2,9,2,8,8,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,1:14:17.38,1,54.9,2,10,3,9,2,2,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,1:28:30.56,1,59.5,2,8.6,2,8,2,8,8,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,1:36:21.22,1,56.6,2,8.7,2,7,2,6,6,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,1:43:57.62,1,59.5,2,8.5,2,7,2,1,1,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,1:48:05.37,1,58.8,2,8.8,2,7,2,8,8,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,2:05:56.60,1,52.8,2,9,2,8,2,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,2:07:21.91,1,57.8,2,8.8,2,10,2,8,8,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,2:10:38.87,1,58.2,2,9.7,2,8,2,8,8,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,2:19:09.56,1,48.7,2,8.6,2,8,2,2,2,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,2:19:21.55,1,57.5,2,8,2,10,2,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,2:21:17.18,1,64.4,2,9.5,2,9,2,6,6,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,2:27:21.41,1,65.2,2,8.1,2,8,2,6,6,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,2:30:08.38,1,53.6,2,9,2,7,2,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,2:31:06.44,1,55.5,2,9.4,2,7,2,6,6,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,2:36:12.73,1,52,2,14.1,3,8,2,8,8,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,2:38:03.51,1,63.3,7,93.4,13,8,6,6,6,17,4.3,30.6,4.1,14.9,22.4,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,2:40:36.87,1,65.6,5,58.4,9,8,5,2,2,17.4,4.2,32.8,4,,,,,,,,,,,,,,,,,,,,,,,,
