Month,Day,Time,Lane,Class,Speed,Length,Headway,Direction
7,9,9:00:11 AM,1,2,60,1575,36,EB
7,9,9:01:24 AM,1,3,71,1935,73,EB
7,9,9:01:36 AM,1,3,68,2036,12,EB
7,9,9:01:38 AM,1,3,67,1849,2,EB
7,9,9:01:39 AM,1,2,66,1526,1,EB
7,9,9:02:17 AM,1,5,68,2011,38,EB
7,9,9:02:18 AM,1,2,69,1800,1,EB
7,9,9:02:19 AM,1,2,68,1635,1,EB
7,9,9:02:33 AM,1,3,70,2001,14,EB
7,9,9:03:40 AM,1,2,71,1873,67,EB
7,9,9:04:41 AM,1,3,72,2097,61,EB
7,9,9:05:43 AM,1,3,68,3930,62,EB
7,9,9:06:56 AM,1,3,67,2013,73,EB
7,9,9:09:02 AM,1,2,69,1723,126,EB
7,9,9:09:35 AM,1,1,0,462,33,EB
7,9,9:09:52 AM,1,1,0,440,17,EB
7,9,9:09:54 AM,1,2,64,1500,2,EB
7,9,9:10:00 AM,1,3,67,1652,6,EB
7,9,9:10:17 AM,1,8,62,6360,17,EB
7,9,9:13:04 AM,1,2,65,1558,167,EB
7,9,9:14:28 AM,1,9,61,5481,84,EB
7,9,9:14:31 AM,1,5,65,4287,3,EB
7,9,9:14:37 AM,1,2,64,1580,6,EB
7,9,9:14:45 AM,1,10,61,6650,8,EB
7,9,9:15:31 AM,1,2,67,1839,46,EB
7,9,9:15:33 AM,1,2,74,1843,2,EB
7,9,9:15:35 AM,1,2,69,1594,2,EB
7,9,9:15:40 AM,1,5,65,4620,5,EB
7,9,9:16:30 AM,1,2,55,1787,50,EB
7,9,9:19:27 AM,1,1,0,977,177,EB
7,9,9:20:21 AM,1,3,70,1908,54,EB
7,9,9:20:22 AM,1,2,69,1550,1,EB
7,9,9:21:08 AM,1,14,0,120,46,EB
7,9,9:21:09 AM,1,14,0,75,1,EB
7,9,9:22:00 AM,1,3,74,1980,51,EB
7,9,9:23:33 AM,1,3,71,1821,93,EB
7,9,9:23:51 AM,1,13,64,9788,18,EB
7,9,9:23:57 AM,1,3,73,1870,6,EB
7,9,9:24:14 AM,1,3,70,1986,17,EB
7,9,9:24:47 AM,1,3,73,2032,33,EB
7,9,9:26:38 AM,1,3,72,1964,111,EB
7,9,9:26:42 AM,1,3,78,2198,4,EB
7,9,9:26:55 AM,1,2,71,1542,13,EB
7,9,9:27:10 AM,1,3,69,3971,15,EB
7,9,9:27:53 AM,1,2,80,1550,43,EB
7,9,9:27:57 AM,1,1,0,644,4,EB
7,9,9:27:59 AM,1,1,0,653,2,EB
7,9,9:28:17 AM,1,3,68,1980,18,EB
7,9,9:28:43 AM,1,2,73,1713,26,EB
7,9,9:29:14 AM,1,2,65,1645,31,EB
7,9,9:29:46 AM,1,2,74,1860,32,EB
7,9,9:30:38 AM,1,2,0,1275,52,EB
7,9,9:31:01 AM,1,3,72,2017,23,EB
7,9,9:31:52 AM,1,2,68,1515,51,EB
7,9,9:33:35 AM,1,2,71,1773,103,EB
7,9,9:33:37 AM,1,2,71,1716,2,EB
7,9,9:33:42 AM,1,3,72,1891,5,EB
7,9,9:33:48 AM,1,3,71,2042,6,EB
7,9,9:34:54 AM,1,3,55,1487,66,EB
7,9,9:35:07 AM,1,2,0,1111,13,EB
7,9,9:35:16 AM,1,2,0,1320,9,EB
7,9,9:36:13 AM,1,3,73,1594,57,EB
7,9,9:37:40 AM,1,2,41,1564,87,EB
7,9,9:38:03 AM,1,3,69,3544,23,EB
7,9,9:38:04 AM,1,2,69,1469,1,EB
