Month,Day,Time,Lane,Class,Speed,Length,Headway,Direction
7,9,9:00:48 AM,1,3,73,1541,81,WB
7,9,9:01:31 AM,1,2,69,1455,43,WB
7,9,9:01:53 AM,1,3,65,1538,22,WB
7,9,9:02:04 AM,1,2,75,1365,11,WB
7,9,9:02:10 AM,1,3,71,1662,6,WB
7,9,9:02:53 AM,1,2,75,1640,43,WB
7,9,9:04:08 AM,1,2,73,1385,75,WB
7,9,9:04:21 AM,1,2,75,1398,13,WB
7,9,9:04:33 AM,1,2,68,1345,12,WB
7,9,9:05:11 AM,1,3,62,3718,38,WB
7,9,9:05:14 AM,1,2,68,3221,3,WB
7,9,9:05:26 AM,1,2,70,1462,12,WB
7,9,9:06:25 AM,1,2,55,1367,59,WB
7,9,9:06:28 AM,1,3,58,1716,3,WB
7,9,9:08:20 AM,1,2,62,1350,112,WB
7,9,9:08:51 AM,1,2,61,1447,31,WB
7,9,9:08:53 AM,1,2,57,1552,2,WB
7,9,9:09:53 AM,1,9,57,5854,60,WB
7,9,9:09:55 AM,1,3,57,1749,2,WB
7,9,9:10:34 AM,1,2,68,1370,39,WB
7,9,9:12:35 AM,1,2,67,1611,121,WB
7,9,9:12:47 AM,1,3,61,3505,12,WB
7,9,9:12:55 AM,1,2,61,1344,8,WB
7,9,9:12:56 AM,1,2,61,1431,1,WB
7,9,9:13:14 AM,1,3,68,1769,18,WB
7,9,9:13:43 AM,1,2,58,1362,29,WB
7,9,9:13:46 AM,1,2,59,1536,3,WB
7,9,9:14:15 AM,1,3,69,1562,29,WB
7,9,9:14:33 AM,1,3,66,1781,18,WB
7,9,9:14:45 AM,1,14,61,7172,12,WB
7,9,9:14:52 AM,1,3,67,1830,7,WB
7,9,9:14:57 AM,1,2,75,1561,5,WB
7,9,9:15:09 AM,1,3,71,1818,12,WB
7,9,9:15:13 AM,1,2,72,1662,4,WB
7,9,9:15:31 AM,1,3,0,1303,18,WB
7,9,9:15:50 AM,1,2,72,1608,19,WB
7,9,9:15:53 AM,1,3,75,1695,3,WB
7,9,9:15:56 AM,1,2,80,1636,3,WB
7,9,9:16:52 AM,1,2,63,1531,56,WB
7,9,9:16:52 AM,1,3,64,1788,0,WB
7,9,9:17:04 AM,1,3,67,1889,12,WB
7,9,9:17:23 AM,1,3,65,3030,19,WB
7,9,9:17:25 AM,1,2,67,1343,2,WB
7,9,9:18:07 AM,1,3,71,1607,42,WB
7,9,9:19:01 AM,1,3,67,1373,54,WB
7,9,9:19:20 AM,1,3,73,1731,19,WB
7,9,9:19:23 AM,1,3,69,1644,3,WB
7,9,9:19:26 AM,1,2,74,1544,3,WB
7,9,9:19:41 AM,1,2,72,1378,15,WB
7,9,9:19:58 AM,1,2,68,1623,17,WB
7,9,9:20:34 AM,1,2,69,1453,36,WB
7,9,9:20:52 AM,1,2,71,1531,18,WB
7,9,9:21:08 AM,1,2,71,1578,16,WB
7,9,9:21:32 AM,1,3,73,1714,24,WB
7,9,9:23:54 AM,1,2,56,1386,142,WB
7,9,9:23:56 AM,1,2,57,1160,2,WB
7,9,9:25:03 AM,1,2,60,1545,67,WB
7,9,9:25:04 AM,1,2,62,1665,1,WB
7,9,9:25:28 AM,1,3,72,1812,24,WB
7,9,9:26:54 AM,1,3,80,1558,86,WB
7,9,9:28:40 AM,1,2,54,1130,106,WB
7,9,9:28:41 AM,1,3,57,1543,1,WB
7,9,9:31:19 AM,1,2,69,1342,158,WB
7,9,9:31:37 AM,1,3,60,4139,18,WB
7,9,9:31:48 AM,1,2,69,1356,11,WB
7,9,9:31:49 AM,1,3,71,1586,1,WB
7,9,9:32:24 AM,1,2,67,1522,35,WB
7,9,9:32:41 AM,1,2,68,1613,17,WB
7,9,9:33:24 AM,1,6,70,2589,43,WB
7,9,9:33:27 AM,1,2,69,1470,3,WB
7,9,9:33:28 AM,1,3,69,1738,1,WB
7,9,9:34:54 AM,1,13,60,8317,86,WB
7,9,9:34:55 AM,1,2,61,1626,1,WB
7,9,9:34:57 AM,1,14,61,3863,2,WB
7,9,9:35:07 AM,1,3,62,1743,10,WB
7,9,9:35:10 AM,1,3,71,1797,3,WB
7,9,9:35:17 AM,1,10,64,7021,7,WB
7,9,9:35:52 AM,1,2,49,1412,35,WB
7,9,9:36:27 AM,1,2,71,1407,35,WB
7,9,9:38:08 AM,1,3,69,1629,101,WB
7,9,9:39:18 AM,1,3,64,1630,70,WB
7,9,9:39:21 AM,1,2,63,1493,3,WB
7,9,9:39:34 AM,1,3,69,1742,13,WB
7,9,9:39:53 AM,1,3,64,1597,19,WB
7,9,9:39:55 AM,1,2,68,1415,2,WB
7,9,9:40:59 AM,1,3,66,1562,64,WB
7,9,9:41:07 AM,1,2,53,1297,8,WB
7,9,9:41:10 AM,1,2,54,1382,3,WB
7,9,9:41:13 AM,1,2,60,2276,3,WB
7,9,9:41:24 AM,1,3,49,1498,11,WB
7,9,9:42:36 AM,1,2,66,1542,72,WB
7,9,9:42:38 AM,1,3,73,1887,2,WB
7,9,9:42:40 AM,1,2,86,1518,2,WB
7,9,9:43:09 AM,1,2,69,1511,29,WB
7,9,9:43:12 AM,1,2,71,1497,3,WB
7,9,9:43:14 AM,1,2,83,1182,2,WB
7,9,9:43:49 AM,1,3,65,3417,35,WB
7,9,9:44:01 AM,1,2,71,1229,12,WB
7,9,9:44:15 AM,1,6,59,2667,14,WB
7,9,9:44:31 AM,1,2,76,1575,16,WB
7,9,9:44:53 AM,1,3,68,1678,22,WB
7,9,9:45:11 AM,1,2,68,1290,18,WB
7,9,9:45:50 AM,1,2,65,1453,39,WB
7,9,9:46:43 AM,1,2,68,1466,53,WB
7,9,9:47:01 AM,1,2,64,1429,18,WB
7,9,9:47:35 AM,1,3,55,3366,34,WB
7,9,9:47:40 AM,1,3,66,3503,5,WB
7,9,9:48:20 AM,1,3,57,3826,40,WB
7,9,9:48:48 AM,1,2,64,1481,28,WB
7,9,9:48:49 AM,1,2,0,1334,1,WB
7,9,9:50:29 AM,1,3,75,1461,100,WB
7,9,9:50:45 AM,1,3,76,1715,16,WB
7,9,9:51:55 AM,1,2,68,1446,70,WB
7,9,9:51:58 AM,1,2,64,1372,3,WB
7,9,9:52:28 AM,1,2,72,1442,30,WB
7,9,9:52:51 AM,1,3,65,2633,23,WB
7,9,9:52:57 AM,1,2,71,1465,6,WB
7,9,9:53:06 AM,1,3,76,1648,9,WB
7,9,9:53:26 AM,1,2,80,1683,20,WB
7,9,9:54:06 AM,1,2,54,1325,40,WB
7,9,9:54:48 AM,1,2,71,1145,42,WB
7,9,9:54:56 AM,1,2,69,1316,8,WB
