Data File:,'13211512 WB EB 2388N.rdf'
Site Code:,'13211512'
Start Date:,5/28/2015
Start Time:,12:00:00 AM
Sensor Layout:,'51'
Sensor Spacing:,'6.0'
'LOCATION':,'ZONE 11A'
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
1,WB,5/28/2015 0:02:45.299,2,583,2,62.41,,,-9.47,8.78
2,EB,5/28/2015 0:13:45.288,2,588,3,61.83,,,0.96,10.78
3,WB,5/28/2015 0:15:22.100,2,583,2,71.46,756.70,756.80,-15.13,9.23
4,WB,5/28/2015 0:17:26.948,2,583,2,56.42,124.76,124.85,-4.77,8.13
5,WB,5/28/2015 0:18:48.087,5,613,9,60.06,81.04,81.14,3.11,18.62,4.51,20.22,4.32
6,WB,5/28/2015 0:18:48.843,2,581,1,63.11,0.22,0.76,-22.47,4.30
7,EB,5/28/2015 0:20:55.789,2,583,2,78.67,430.38,430.50,-14.87,9.79
8,WB,5/28/2015 0:21:02.810,2,600,5,67.29,133.92,133.97,1.89,14.19
9,EB,5/28/2015 0:25:24.854,2,583,2,72.07,268.98,269.06,-11.16,8.64
10,EB,5/28/2015 0:34:22.721,2,583,2,53.03,537.79,537.87,-5.07,8.86
11,WB,5/28/2015 0:43:16.550,2,583,2,54.94,1333.60,1333.74,-5.60,8.92
12,EB,5/28/2015 0:44:51.903,2,583,2,63.11,629.07,629.18,-7.11,9.13
13,WB,5/28/2015 0:50:29.692,2,583,2,53.88,433.03,433.14,-7.38,9.05
14,WB,5/28/2015 0:54:44.869,2,583,2,62.88,255.06,255.18,-8.09,9.23
15,EB,5/28/2015 0:55:13.804,2,583,2,67.70,621.80,621.90,-12.92,9.21
16,EB,5/28/2015 1:16:01.162,7,634,13,54.94,1247.27,1247.36,0.00,12.01,4.62,22.03,4.39,13.03,23.27
17,WB,5/28/2015 1:18:30.496,2,600,5,56.04,1425.53,1425.63,-1.17,13.08
18,EB,5/28/2015 1:21:15.469,5,613,9,51.88,313.33,314.31,0.39,11.97,4.52,19.97,11.40
19,WB,5/28/2015 1:21:49.886,3,605,8,67.03,199.23,199.39,-0.34,14.51,24.61
20,EB,5/28/2015 1:23:07.747,2,588,3,80.17,111.65,112.28,1.92,11.76
21,WB,5/28/2015 1:26:29.929,2,583,2,69.38,279.64,280.04,-16.76,8.46
22,EB,5/28/2015 1:32:02.269,2,583,2,71.00,534.42,534.52,-8.08,9.54
23,EB,5/28/2015 1:32:56.053,2,583,2,60.38,53.69,53.78,-7.77,8.51
