Data File:,'13211513 EB 1 2363.rdf'
Site Code:,'13211513 EB1'
Start Date:,5/28/2015
Start Time:,12:00:00 AM
Sensor Layout:,'52'
Sensor Spacing:,'6.0'
'LOCATION':,'ZONE 11B'
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
1,EB1,5/28/2015 0:13:55.552,2,588,3,58.79,,,0.00,10.74
2,EB1,5/28/2015 0:21:04.032,2,583,2,78.67,428.36,428.48,-12.92,9.69
3,EB1,5/28/2015 0:25:33.824,2,583,2,69.82,269.71,269.79,10.54,8.64
4,EB1,5/28/2015 0:34:34.417,2,583,2,51.24,540.51,540.59,0.00,8.70
5,EB1,5/28/2015 0:45:02.133,2,583,2,58.79,627.60,627.72,0.00,9.09
6,EB1,5/28/2015 0:55:22.970,2,583,2,68.96,620.73,620.84,0.00,9.11
7,EB1,5/28/2015 1:16:12.717,7,634,13,50.78,1249.66,1249.75,0.00,11.70,4.41,20.93,4.15,13.00,22.45
8,EB1,5/28/2015 1:21:27.415,5,613,9,50.78,313.67,314.70,-0.72,11.76,4.37,19.75,11.38
9,EB1,5/28/2015 1:23:15.962,2,588,3,74.47,107.91,108.55,9.64,11.48
10,EB1,5/28/2015 1:32:11.332,2,583,2,68.12,535.27,535.37,0.00,9.51
11,EB1,5/28/2015 1:33:06.595,2,583,2,57.58,55.17,55.26,0.00,8.54
12,EB1,5/28/2015 1:38:09.435,8,636,13,47.33,302.74,302.84,0.37,13.32,4.37,16.02,4.23,13.36,19.27,4.26
13,EB1,5/28/2015 1:42:53.806,7,634,13,51.24,283.29,284.37,0.47,11.56,4.40,20.89,4.10,13.23,22.07
14,EB1,5/28/2015 1:52:23.865,2,583,2,52.20,569.05,570.06,0.00,9.42
15,EB1,5/28/2015 1:58:03.303,2,583,2,62.76,339.31,339.44,0.00,8.49
16,EB1,5/28/2015 2:09:19.519,2,583,2,54.76,676.12,676.22,-4.58,9.28
17,EB1,5/28/2015 2:22:47.083,2,583,2,66.49,807.45,807.56,-0.00,8.64
18,EB1,5/28/2015 2:55:03.599,2,583,2,58.79,1936.43,1936.52,-5.91,8.89
19,EB1,5/28/2015 2:55:20.835,2,583,2,72.54,17.13,17.24,0.00,8.96
20,EB1,5/28/2015 2:56:28.245,2,583,2,54.76,67.33,67.41,-4.31,9.86
21,EB1,5/28/2015 3:04:46.877,2,588,3,66.49,498.51,498.63,0.00,10.00
22,EB1,5/28/2015 3:31:22.182,2,583,2,67.29,1595.20,1595.31,0.00,9.33
23,EB1,5/28/2015 3:36:04.881,2,583,2,55.85,282.60,282.70,0.00,8.94
24,EB1,5/28/2015 3:38:14.388,2,600,5,57.58,129.40,129.51,-3.38,14.62
25,EB1,5/28/2015 3:45:35.338,2,588,3,53.19,440.78,440.95,-3.24,12.03
26,EB1,5/28/2015 3:48:46.312,2,583,2,52.20,190.82,190.97,4.41,8.59
27,EB1,5/28/2015 3:48:56.455,2,583,2,64.20,10.03,10.14,-7.88,8.67
28,EB1,5/28/2015 3:53:19.103,8,636,13,62.76,262.56,262.65,3.50,14.49,4.44,27.29,4.17,10.53,13.49,4.18
29,EB1,5/28/2015 3:57:21.987,2,583,2,74.47,242.04,242.88,-10.83,9.81
