Data File:,'13211513 WB EB 2 2401N.rdf'
Site Code:,'13211513 WB EB2'
Start Date:,5/28/2015
Start Time:,12:00:00 AM
Sensor Layout:,'51'
Sensor Spacing:,'6.0'
'LOCATION':,'ZONE 11B'
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
1,WB,5/28/2015 0:02:36.640,2,583,2,63.96,,,-11.36,8.84
2,WB,5/28/2015 0:15:14.749,2,583,2,75.14,758.01,758.11,-5.94,9.28
3,WB,5/28/2015 0:17:17.484,2,583,2,60.49,122.65,122.73,-9.28,8.17
4,WB,5/28/2015 0:18:39.190,6,632,12,61.49,81.61,81.71,4.88,18.91,25.07,3.99,19.78,4.19
5,WB,5/28/2015 0:20:54.889,2,600,5,72.07,134.91,135.70,1.16,14.16
6,WB,5/28/2015 0:43:06.175,2,583,2,54.14,1331.15,1331.29,-9.89,8.85
7,WB,5/28/2015 0:50:19.466,2,583,2,54.67,433.18,433.29,-3.92,9.01
8,WB,5/28/2015 0:54:36.087,2,583,2,63.23,256.51,256.62,-9.37,9.24
9,WB,5/28/2015 1:18:20.853,2,600,5,59.31,1424.67,1424.77,-6.92,12.85
10,EB2,5/28/2015 1:21:26.950,5,613,9,50.09,,,0.36,11.73,4.34,19.64,11.29
11,WB,5/28/2015 1:21:41.885,4,610,8,69.10,200.88,201.03,-0.32,14.56,24.91,6.00
12,EB2,5/28/2015 1:23:15.493,2,588,3,76.17,107.91,108.54,3.34,11.64
13,WB,5/28/2015 1:26:22.065,2,583,2,69.96,279.74,280.18,-6.89,8.59
14,EB2,5/28/2015 1:33:06.134,2,583,2,57.38,590.54,590.64,-10.46,8.45
15,EB2,5/28/2015 1:38:08.976,8,636,13,47.54,302.74,302.84,-0.12,13.43,4.34,16.21,4.23,13.42,19.58,4.20
16,EB2,5/28/2015 1:42:53.348,7,634,13,51.88,283.29,284.37,-0.08,11.61,4.46,21.10,4.15,13.09,22.15
17,WB,5/28/2015 2:12:11.358,4,608,8,56.23,2749.21,2749.29,0.46,15.43,4.52,31.37
18,WB,5/28/2015 2:12:28.222,2,588,3,57.78,16.24,16.86,-0.00,9.96
19,WB,5/28/2015 2:15:39.804,2,583,2,56.14,191.46,191.58,-9.51,8.71
20,WB,5/28/2015 2:17:07.967,2,583,2,53.36,88.06,88.16,-7.60,9.38
21,EB2,5/28/2015 2:22:46.640,2,583,2,67.16,2392.29,2393.29,-13.60,8.54
22,WB,5/28/2015 2:46:22.224,2,583,2,54.85,1754.14,1754.26,-5.98,9.47
23,WB,5/28/2015 2:46:28.631,3,601,6,61.27,6.29,6.41,1.85,17.68,4.44
24,WB,5/28/2015 2:48:32.809,6,618,10,61.15,123.93,124.18,2.00,11.57,4.51,31.87,4.19,4.55
25,EB2,5/28/2015 2:52:06.699,2,583,2,60.38,1759.97,1760.06,-5.73,9.92
26,WB,5/28/2015 2:53:35.604,3,601,6,58.18,302.17,302.79,5.90,18.15,4.63
27,WB,5/28/2015 2:54:25.405,2,588,3,63.47,49.54,49.80,-2.87,11.61
28,WB,5/28/2015 2:55:13.779,2,600,5,65.71,48.25,48.37,4.36,17.41
29,WB,5/28/2015 2:56:46.393,2,600,5,68.96,92.43,92.61,0.00,13.21
