Data File:,'13211514 EB 1 4326.rdf'
Site Code:,'13211514 EB1'
Start Date:,5/28/2015
Start Time:,12:00:00 AM
Sensor Layout:,'52'
Sensor Spacing:,'6.0'
'LOCATION':,'ZONE 11C'
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
1,EB1,5/28/2015 0:14:03.372,2,588,3,60.06,,,-0.00,11.03
2,EB1,5/28/2015 0:21:10.406,2,583,2,82.14,426.91,427.03,-14.45,9.85
3,EB1,5/28/2015 0:25:40.791,2,583,2,70.70,270.30,270.38,0.00,8.66
4,EB1,5/28/2015 0:34:43.068,2,583,2,51.72,542.19,542.28,8.38,8.92
5,EB1,5/28/2015 0:45:09.936,2,583,2,59.42,626.75,626.87,6.04,9.27
6,EB1,5/28/2015 0:55:30.044,2,583,2,68.12,620.00,620.11,9.08,9.31
7,EB1,5/28/2015 1:16:21.506,7,634,13,50.78,1251.37,1251.46,-0.43,11.84,4.42,21.56,4.30,13.22,22.86
8,EB1,5/28/2015 1:21:36.281,5,613,9,49.87,313.72,314.78,0.69,11.84,4.45,19.87,11.41
9,EB1,5/28/2015 1:32:18.377,2,583,2,69.82,641.44,642.10,9.46,9.62
10,EB1,5/28/2015 1:33:14.463,2,583,2,60.06,55.99,56.09,-6.39,8.76
11,EB1,5/28/2015 1:38:18.629,8,636,13,48.15,304.07,304.17,-0.38,13.62,4.35,16.35,4.31,13.56,19.63,4.26
12,EB1,5/28/2015 1:43:02.347,7,634,13,53.19,282.63,283.72,0.00,11.83,4.51,21.39,4.17,13.35,22.54
13,EB1,5/28/2015 1:52:32.534,2,583,2,50.78,569.19,570.19,0.00,9.55
14,EB1,5/28/2015 1:58:10.973,2,583,2,59.42,338.31,338.44,6.39,8.76
15,EB1,5/28/2015 2:09:27.808,2,583,2,54.76,676.74,676.84,-0.00,9.47
16,EB1,5/28/2015 2:55:11.429,2,583,2,61.38,2743.50,2743.62,-6.48,9.21
17,EB1,5/28/2015 2:55:27.585,2,583,2,75.48,16.05,16.16,0.00,9.16
18,EB1,5/28/2015 2:56:36.600,2,588,3,53.71,68.93,69.01,0.00,10.04
19,EB1,5/28/2015 3:04:54.109,2,588,3,66.49,497.38,497.51,-7.49,10.12
20,EB1,5/28/2015 3:31:29.336,2,583,2,68.96,1595.12,1595.23,0.00,9.48
21,EB1,5/28/2015 3:36:13.100,2,583,2,56.42,283.67,283.76,-5.15,9.02
22,EB1,5/28/2015 3:38:22.646,2,600,5,53.71,129.44,129.55,-2.72,14.73
23,EB1,5/28/2015 3:45:43.829,2,600,5,53.19,441.00,441.18,10.05,12.32
24,EB1,5/28/2015 3:49:03.992,2,583,2,62.76,200.01,200.16,-7.24,8.82
25,EB1,5/28/2015 3:53:26.573,7,634,13,64.20,262.49,262.58,0.93,14.59,4.50,28.13,3.84,11.02,13.40
26,EB1,5/28/2015 3:57:28.722,2,583,2,75.48,241.35,242.15,-0.00,9.81
27,EB1,5/28/2015 4:10:17.395,2,583,2,68.12,768.58,768.67,9.30,9.09
28,EB1,5/28/2015 4:25:28.494,3,593,4,45.78,911.01,911.10,2.04,20.66,4.51
29,EB1,5/28/2015 4:26:52.010,2,588,3,60.06,83.14,83.52,5.62,10.28
30,EB1,5/28/2015 4:27:12.176,2,600,5,59.42,20.05,20.17,0.00,14.30
31,EB1,5/28/2015 4:33:22.852,2,583,2,60.71,370.51,370.68,0.00,8.74
32,EB1,5/28/2015 4:33:28.447,2,583,2,60.71,5.50,5.60,-6.39,9.05
33,EB1,5/28/2015 4:35:46.461,2,583,2,65.71,137.91,138.01,0.00,9.11
34,EB1,5/28/2015 4:36:42.844,2,583,2,80.95,56.29,56.38,-0.00,9.04
35,EB1,5/28/2015 4:39:35.653,2,600,5,64.95,172.73,172.81,-5.62,12.59
36,EB1,5/28/2015 4:41:44.602,2,583,2,52.20,128.82,128.95,14.13,8.28
37,EB1,5/28/2015 4:45:20.928,2,583,2,58.79,216.22,216.33,0.00,8.72
38,EB1,5/28/2015 4:47:04.155,2,588,3,68.12,103.13,103.23,-6.65,12.25
39,EB1,5/28/2015 4:56:23.792,2,583,2,76.51,559.51,559.64,-12.78,9.02
40,EB1,5/28/2015 4:58:13.124,2,583,2,69.82,109.25,109.33,10.10,9.02
41,EB1,5/28/2015 5:04:24.138,2,583,2,56.99,370.93,371.01,6.24,7.91
42,EB1,5/28/2015 5:07:00.209,2,583,2,54.76,155.98,156.07,4.95,8.84
43,EB1,5/28/2015 5:07:13.913,2,583,2,67.29,13.59,13.70,0.00,8.24
44,EB1,5/28/2015 5:08:07.873,2,583,2,60.71,53.88,53.96,0.00,7.83
45,EB1,5/28/2015 5:08:58.286,2,588,3,59.42,50.33,50.41,11.02,10.32
46,EB1,5/28/2015 5:09:17.164,2,588,3,64.20,18.76,18.88,0.00,11.79
47,EB1,5/28/2015 5:10:46.562,2,583,2,49.87,89.27,89.40,3.78,8.74
48,EB1,5/28/2015 5:13:59.549,2,583,2,62.06,192.87,192.99,0.00,9.27
49,EB1,5/28/2015 5:16:40.096,2,588,3,69.82,160.45,160.55,0.00,12.23
50,EB1,5/28/2015 5:18:11.755,2,592,4,60.06,91.54,91.66,-4.84,22.79
51,EB1,5/28/2015 5:20:49.138,2,583,2,36.75,157.12,157.38,1.56,8.46
52,EB1,5/28/2015 5:21:16.279,2,583,2,52.69,26.98,27.14,-4.30,8.82
53,EB1,5/28/2015 5:23:48.933,2,600,5,62.06,152.54,152.65,4.80,13.31
54,EB1,5/28/2015 5:26:39.152,2,583,2,56.99,170.07,170.22,-0.00,9.06
55,EB1,5/28/2015 5:31:04.584,2,588,3,72.54,265.32,265.43,-9.10,10.80
56,EB1,5/28/2015 5:32:16.740,2,583,2,64.95,72.05,72.16,0.00,8.79
57,EB1,5/28/2015 5:33:06.889,2,583,2,64.95,50.06,50.15,-7.87,8.98
58,EB1,5/28/2015 5:33:26.639,2,583,2,56.99,19.66,19.75,0.00,8.88
59,EB1,5/28/2015 5:35:12.405,2,588,3,62.06,105.66,105.77,0.00,10.07
60,EB1,5/28/2015 5:37:12.396,5,613,9,67.29,119.88,119.99,1.48,18.80,4.42,27.17,4.53
61,EB1,5/28/2015 5:37:57.161,2,588,3,64.95,44.21,44.76,-0.00,11.93
62,EB1,5/28/2015 5:38:29.061,2,583,2,65.71,31.78,31.90,0.00,9.18
63,EB1,5/28/2015 5:39:51.198,2,588,3,64.95,82.04,82.14,0.00,10.67
64,EB1,5/28/2015 5:45:23.889,2,600,5,72.54,332.58,332.69,-7.63,12.89
65,EB1,5/28/2015 5:45:27.979,2,588,3,63.47,3.97,4.09,0.00,10.02
66,EB1,5/28/2015 5:46:29.298,3,605,8,69.82,61.21,61.32,3.06,12.90,16.79
67,EB1,5/28/2015 5:47:00.483,5,613,9,59.42,30.90,31.19,-0.95,12.29,4.42,36.25,4.17
68,EB1,5/28/2015 5:48:41.531,2,588,3,62.06,100.39,101.05,-10.18,11.94
69,EB1,5/28/2015 5:50:12.777,2,583,2,54.23,91.11,91.25,0.00,9.09
70,EB1,5/28/2015 5:50:34.426,2,583,2,64.20,21.54,21.65,-7.87,8.67
71,EB1,5/28/2015 5:50:51.672,2,588,3,74.47,17.15,17.25,0.00,10.72
72,EB1,5/28/2015 5:52:25.155,3,605,8,54.76,93.38,93.48,-1.21,14.24,21.04
73,EB1,5/28/2015 5:53:59.082,6,618,10,48.57,93.49,93.93,0.00,15.82,4.39,29.84,5.17,5.17
74,EB1,5/28/2015 5:55:06.269,8,636,13,63.47,66.34,67.19,1.63,19.04,4.53,23.97,3.96,8.91,20.97,4.27
75,EB1,5/28/2015 5:56:14.781,2,588,3,58.79,67.61,68.51,-4.37,12.03
76,EB1,5/28/2015 5:58:02.258,5,613,9,60.06,107.34,107.48,1.03,19.75,4.50,28.04,4.24
77,EB1,5/28/2015 5:59:55.851,2,583,2,64.95,112.96,113.59,-7.81,9.05
78,EB1,5/28/2015 6:00:05.171,7,634,13,63.47,9.22,9.32,1.54,20.51,4.37,30.21,5.17,8.91,20.58
79,EB1,5/28/2015 6:01:41.573,2,600,5,67.29,95.44,96.40,0.00,13.37
80,EB1,5/28/2015 6:02:25.182,2,588,3,64.95,43.47,43.61,7.27,10.07
81,EB1,5/28/2015 6:02:52.451,2,588,3,63.47,27.16,27.27,-0.00,10.70
82,EB1,5/28/2015 6:11:48.723,2,583,2,61.38,536.16,536.27,6.67,9.25
83,EB1,5/28/2015 6:15:35.743,5,613,9,61.38,226.92,227.02,0.99,17.34,4.43,35.80,4.21
84,EB1,5/28/2015 6:15:38.920,3,605,8,65.71,2.49,3.18,-0.00,13.26,17.16
85,EB1,5/28/2015 6:17:32.578,2,583,2,77.58,113.34,113.66,-13.63,8.81
86,EB1,5/28/2015 6:22:18.294,2,583,2,62.06,285.64,285.72,0.00,8.80
87,EB1,5/28/2015 6:22:25.797,2,583,2,67.29,7.41,7.50,0.00,9.25
88,EB1,5/28/2015 6:22:45.812,2,588,3,64.95,19.92,20.01,0.00,10.19
89,EB1,5/28/2015 6:23:09.763,2,583,2,60.71,23.84,23.95,0.00,9.13
90,EB1,5/28/2015 6:23:35.702,5,613,9,62.06,25.84,25.94,1.21,16.81,4.62,26.38,4.12
91,EB1,5/28/2015 6:23:36.454,2,581,1,62.76,0.18,0.75,0.00,4.11
92,EB1,5/28/2015 6:23:42.596,2,600,5,62.06,6.10,6.14,4.72,13.51
93,EB1,5/28/2015 6:24:05.110,2,583,2,66.49,22.37,22.51,8.79,8.95
94,EB1,5/28/2015 6:27:17.635,2,600,5,55.85,192.43,192.53,0.00,14.58
