Data File:,'13211514 WB EB 2 2393N.rdf'
Site Code:,'13211514 WB EB2'
Start Date:,5/28/2015
Start Time:,12:00:00 AM
Sensor Layout:,'51'
Sensor Spacing:,'6.0'
'LOCATION':,'ZONE 11C'
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
1,WB,5/28/2015 0:15:09.241,2,583,2,80.75,,,0.00,9.41
2,WB,5/28/2015 0:17:10.750,2,583,2,60.82,121.43,121.51,-4.75,8.20
3,WB,5/28/2015 0:18:32.528,8,636,13,62.64,81.69,81.78,0.15,18.77,4.48,20.37,4.03,4.34,15.01,3.96
4,WB,5/28/2015 0:20:49.034,2,600,5,74.14,135.74,136.51,2.53,14.22
5,WB,5/28/2015 0:42:58.915,2,583,2,57.58,1329.75,1329.88,-9.26,8.79
6,WB,5/28/2015 0:50:12.246,2,583,2,56.71,433.23,433.33,-5.22,9.04
7,WB,5/28/2015 0:54:29.646,2,583,2,66.36,257.29,257.40,-12.13,9.24
8,WB,5/28/2015 1:18:14.129,2,600,5,62.76,1424.39,1424.48,-1.65,13.01
9,WB,5/28/2015 1:21:35.843,3,605,8,69.96,201.57,201.71,5.93,14.49,25.02
10,EB2,5/28/2015 1:23:18.486,2,588,3,76.86,,,-3.35,11.79
11,WB,5/28/2015 1:26:16.105,2,583,2,76.51,279.88,280.26,-17.79,8.58
12,EB2,5/28/2015 1:32:14.332,2,583,2,71.30,535.74,535.85,-14.38,9.65
13,EB2,5/28/2015 1:38:14.583,8,636,13,48.57,360.16,360.25,-0.39,13.88,4.46,16.60,4.32,13.84,20.02,4.33
14,WB,5/28/2015 2:12:04.110,3,605,8,56.04,2747.93,2748.00,1.85,15.40,36.29
15,WB,5/28/2015 2:12:04.351,2,592,4,60.06,0.00,0.24,-2.64,38.33
16,WB,5/28/2015 2:15:32.727,2,583,2,59.74,207.94,208.38,-10.31,8.81
17,WB,5/28/2015 2:17:00.466,2,583,2,53.28,87.64,87.74,-1.38,9.53
18,EB2,5/28/2015 2:22:50.276,2,583,2,65.97,2674.61,2675.69,-11.20,8.77
19,WB,5/28/2015 2:46:15.196,2,583,2,61.72,1754.61,1754.73,-11.63,9.45
20,WB,5/28/2015 2:46:21.718,3,601,6,57.58,6.42,6.52,1.92,17.69,4.46
21,WB,5/28/2015 2:48:26.115,5,613,9,62.76,124.14,124.40,-0.83,11.64,4.21,32.82,4.04
22,EB2,5/28/2015 2:52:10.723,2,588,3,62.76,1760.36,1760.45,-1.06,10.20
23,WB,5/28/2015 2:53:28.610,3,601,6,58.38,301.93,302.50,0.39,18.00,4.25
24,WB,5/28/2015 2:54:18.947,2,588,3,66.63,50.08,50.34,-1.10,11.77
25,WB,5/28/2015 2:55:07.518,3,601,6,68.67,48.45,48.57,-6.44,17.36,4.26
