Data File:,'13211515 EB 1 6599.rdf'
Site Code:,'13211515 EB 1'
Start Date:,5/28/2015
Start Time:,12:00:00 AM
Sensor Layout:,'52'
Sensor Spacing:,'6.0'
,
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
1,EB 1,5/28/2015 0:14:16.933,2,588,3,57.58,,,-4.57,10.80
2,EB 1,5/28/2015 0:21:21.297,2,583,2,80.95,424.24,424.36,0.00,9.74
3,EB 1,5/28/2015 0:25:52.982,2,583,2,67.29,271.60,271.69,-9.15,8.59
4,EB 1,5/28/2015 0:34:58.252,2,583,2,48.15,545.18,545.27,-3.24,8.94
5,EB 1,5/28/2015 0:45:23.640,2,583,2,56.42,625.26,625.39,-0.00,9.27
6,EB 1,5/28/2015 0:55:42.403,2,583,2,66.49,618.65,618.76,0.00,9.21
7,EB 1,5/28/2015 1:16:37.290,7,634,13,42.97,1254.79,1254.89,-0.52,11.77,4.39,21.19,4.19,13.06,22.95
8,EB 1,5/28/2015 1:21:51.559,5,613,9,49.87,313.02,314.27,-0.68,11.89,4.44,19.99,11.44
9,EB 1,5/28/2015 1:32:30.507,2,583,2,68.96,638.30,638.95,-0.00,9.63
10,EB 1,5/28/2015 1:33:28.134,2,583,2,56.99,57.53,57.63,-5.52,8.68
11,EB 1,5/28/2015 1:38:35.007,8,636,13,42.31,306.77,306.87,-1.00,13.53,4.34,16.34,4.25,13.63,19.60,4.23
12,EB 1,5/28/2015 1:43:17.316,7,634,13,48.57,281.07,282.31,-0.39,11.74,4.39,21.17,4.17,13.36,22.36
13,EB 1,5/28/2015 1:52:48.334,2,583,2,45.78,569.93,571.02,-2.61,9.53
14,EB 1,5/28/2015 1:58:24.536,2,583,2,57.58,336.06,336.20,-0.00,8.60
15,EB 1,5/28/2015 2:09:42.443,2,583,2,52.69,677.81,677.91,-0.00,9.34
16,EB 1,5/28/2015 2:55:24.901,2,583,2,59.42,2742.34,2742.46,0.00,9.19
17,EB 1,5/28/2015 2:55:39.683,2,583,2,68.96,14.68,14.78,0.00,9.04
18,EB 1,5/28/2015 2:56:51.099,2,588,3,55.85,71.33,71.42,0.00,10.02
19,EB 1,5/28/2015 3:05:07.066,2,588,3,62.76,495.84,495.97,-6.33,10.09
20,EB 1,5/28/2015 3:31:41.713,2,583,2,68.12,1594.54,1594.65,8.93,9.46
21,EB 1,5/28/2015 3:36:27.425,2,583,2,55.30,285.62,285.71,0.00,9.03
22,EB 1,5/28/2015 3:38:37.600,2,600,5,51.24,130.06,130.18,0.00,14.70
23,EB 1,5/28/2015 3:45:58.448,2,588,3,53.71,440.65,440.85,-0.00,12.17
24,EB 1,5/28/2015 3:49:17.611,2,583,2,57.58,199.01,199.16,0.00,8.72
25,EB 1,5/28/2015 3:53:39.781,8,636,13,60.06,262.07,262.17,-0.70,14.84,4.52,28.01,4.21,10.51,13.24,4.21
26,EB 1,5/28/2015 3:57:40.580,2,583,2,71.61,239.89,240.80,0.00,9.85
27,EB 1,5/28/2015 4:25:44.798,3,593,4,43.98,1684.12,1684.22,-0.88,20.54,4.45
28,EB 1,5/28/2015 4:27:05.705,2,588,3,57.58,80.52,80.91,-0.00,10.27
29,EB 1,5/28/2015 4:27:25.517,2,600,5,62.06,19.69,19.81,0.00,14.27
30,EB 1,5/28/2015 4:33:36.534,2,583,2,58.18,370.86,371.02,-5.87,8.67
31,EB 1,5/28/2015 4:33:42.282,2,583,2,57.58,5.65,5.75,0.00,8.97
32,EB 1,5/28/2015 4:35:59.346,2,583,2,64.95,136.96,137.06,-7.75,9.12
33,EB 1,5/28/2015 4:36:54.259,2,583,2,77.58,54.82,54.91,-13.37,8.98
34,EB 1,5/28/2015 4:39:48.659,2,600,5,64.95,174.32,174.40,-5.58,12.66
35,EB 1,5/28/2015 4:41:59.970,2,583,2,48.57,131.18,131.31,0.00,7.98
36,EB 1,5/28/2015 4:45:34.916,2,583,2,56.42,214.83,214.95,5.52,8.68
