Data File:,'13211515 WB EB 2 2392N.rdf'
Site Code:,'13211515 WB EB 2'
Start Date:,5/28/2015
Start Time:,12:00:00 AM
Sensor Layout:,'51'
Sensor Spacing:,'6.0'
,
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
1,WB,5/28/2015 0:15:04.965,2,583,2,81.14,,,-5.07,9.16
2,WB,5/28/2015 0:17:04.300,2,583,2,61.95,119.26,119.34,-8.96,7.97
3,WB,5/28/2015 0:18:26.192,8,636,13,61.60,81.80,81.89,-0.96,18.41,24.47,3.89,4.26,15.07,3.95,4.28
4,WB,5/28/2015 0:20:43.971,2,600,5,71.30,136.97,137.78,3.51,13.70
5,WB,5/28/2015 0:42:52.095,2,583,2,60.17,1327.99,1328.12,-4.34,8.68
6,WB,5/28/2015 0:50:05.112,2,583,2,56.99,432.92,433.02,-2.72,8.86
7,WB,5/28/2015 0:54:23.934,2,583,2,66.49,258.72,258.82,-9.76,9.04
8,WB,5/28/2015 1:18:07.917,2,600,5,62.41,1423.89,1423.98,-3.31,12.72
9,WB,5/28/2015 1:21:30.531,4,610,8,68.96,202.48,202.61,0.64,14.26,24.41,6.31
10,EB 2,5/28/2015 1:21:45.960,5,613,9,49.07,,,-0.33,11.69,4.35,19.49,11.22
11,EB 2,5/28/2015 1:23:28.631,2,588,3,70.85,102.02,102.67,-3.95,11.70
12,WB,5/28/2015 1:26:11.802,2,583,2,81.34,280.83,281.27,-24.75,8.29
13,EB 2,5/28/2015 2:09:36.833,2,583,2,52.12,2768.09,2768.20,-2.67,9.21
14,WB,5/28/2015 2:11:56.734,4,608,8,53.88,2744.86,2744.93,1.54,15.00,4.32,31.09
15,WB,5/28/2015 2:12:14.767,2,583,2,61.60,17.40,18.03,-9.26,9.70
16,WB,5/28/2015 2:15:26.111,2,583,2,59.95,191.24,191.34,-9.67,8.57
17,WB,5/28/2015 2:16:53.803,2,583,2,61.60,87.59,87.69,-13.01,9.13
18,EB 2,5/28/2015 2:23:01.866,2,583,2,59.00,804.91,805.03,-8.21,8.58
19,WB,5/28/2015 2:46:09.017,2,583,2,61.60,1755.11,1755.21,-4.36,9.27
20,WB,5/28/2015 2:46:15.550,3,601,6,65.20,6.43,6.53,9.44,17.21,4.16
21,WB,5/28/2015 2:48:19.999,5,613,9,63.47,124.23,124.45,-0.22,11.38,4.12,31.62,4.02
22,EB 2,5/28/2015 2:52:22.472,2,583,2,60.17,1760.51,1760.61,-8.45,9.91
23,WB,5/28/2015 2:53:21.648,3,601,6,56.80,301.10,301.65,1.11,17.74,4.24
24,WB,5/28/2015 2:54:13.207,2,588,3,65.07,51.30,51.56,4.27,11.44
25,WB,5/28/2015 2:55:02.301,4,602,7,70.70,48.97,49.09,-10.81,16.78,4.27,7.38
26,WB,5/28/2015 2:56:35.170,2,600,5,71.61,92.59,92.87,1.24,12.98
27,WB,5/28/2015 2:57:51.678,2,583,2,67.84,76.38,76.51,1.58,8.69
28,WB,5/28/2015 2:57:56.111,3,601,6,71.61,4.35,4.43,2.30,16.77,4.45
29,WB,5/28/2015 2:59:09.081,2,600,5,66.89,72.77,72.97,2.04,12.91
30,WB,5/28/2015 2:59:35.388,7,634,13,56.14,26.18,26.31,0.94,11.55,4.00,22.14,4.19,12.45,22.53
31,WB,5/28/2015 3:05:25.836,2,583,2,61.38,349.53,350.45,1.18,8.61
32,WB,5/28/2015 3:16:53.937,2,588,3,62.29,688.00,688.10,7.45,11.62
33,WB,5/28/2015 3:21:51.573,3,593,4,58.18,297.51,297.64,1.73,21.14,4.11
34,WB,5/28/2015 3:24:14.293,3,601,6,71.15,142.43,142.72,3.56,17.89,4.52
35,WB,5/28/2015 3:26:15.414,2,600,5,60.17,120.91,121.12,-2.93,12.88
36,WB,5/28/2015 3:35:35.523,2,583,2,63.11,559.96,560.11,-3.90,8.39
37,WB,5/28/2015 3:42:47.130,7,634,13,51.72,431.52,431.61,0.08,13.34,4.36,16.16,4.16,13.38,22.75
38,WB,5/28/2015 3:42:47.708,2,592,4,55.30,0.00,0.58,-1.87,38.59
39,WB,5/28/2015 3:47:15.633,2,588,3,61.04,267.45,267.92,1.69,11.84
40,EB 2,5/28/2015 3:49:04.308,2,583,2,47.94,3401.72,3401.84,-4.48,8.47
41,EB 2,5/28/2015 3:57:34.942,2,583,2,71.00,510.51,510.63,-20.31,9.62
42,WB,5/28/2015 4:05:45.714,2,583,2,73.98,1109.95,1110.08,-25.89,7.90
43,EB 2,5/28/2015 4:10:24.352,2,583,2,65.20,769.32,769.41,-9.54,8.72
44,WB,5/28/2015 4:21:16.346,5,614,9,70.85,930.56,930.63,-1.87,11.51,7.00,4.44,26.05
45,WB,5/28/2015 4:22:09.593,2,583,2,68.96,52.77,53.25,-6.73,8.42
46,WB,5/28/2015 4:23:12.104,5,627,11,64.32,62.43,62.51,0.52,13.06,21.78,8.76,22.75
47,WB,5/28/2015 4:25:19.949,2,583,2,59.00,127.13,127.85,-27.58,6.19
48,WB,5/28/2015 4:27:48.048,5,613,9,66.63,148.03,148.10,-1.92,20.97,4.33,30.38,9.86
49,WB,5/28/2015 4:29:01.456,2,588,3,65.33,72.73,73.41,3.41,10.83
50,WB,5/28/2015 4:30:09.226,2,600,5,67.84,67.66,67.77,2.10,13.08
51,WB,5/28/2015 4:30:27.765,2,600,5,67.84,18.41,18.54,4.30,12.85
52,WB,5/28/2015 4:31:36.453,2,588,3,65.84,68.56,68.69,4.26,11.86
53,WB,5/28/2015 4:31:38.076,2,583,2,67.98,1.50,1.62,-11.14,9.63
54,WB,5/28/2015 4:32:35.746,2,583,2,53.88,57.57,57.67,-0.73,9.31
55,WB,5/28/2015 4:40:19.677,2,600,5,62.52,463.81,463.93,-5.59,13.13
56,WB,5/28/2015 4:40:53.330,2,600,5,66.36,33.51,33.65,0.00,12.89
57,WB,5/28/2015 4:47:17.101,2,588,3,60.82,383.64,383.77,10.30,10.84
58,WB,5/28/2015 4:47:58.100,2,583,2,69.82,40.88,41.00,-10.36,9.85
59,WB,5/28/2015 4:48:04.432,2,583,2,65.84,6.24,6.33,-8.05,9.15
60,EB 2,5/28/2015 4:50:00.700,2,583,2,63.47,2376.26,2376.35,-6.69,8.25
61,WB,5/28/2015 4:52:31.306,2,583,2,61.60,266.78,266.87,-1.27,8.05
62,WB,5/28/2015 4:59:27.565,2,583,2,65.33,416.17,416.26,-10.93,8.73
63,WB,5/28/2015 5:07:14.287,2,583,2,67.57,466.63,466.72,-12.46,8.46
64,EB 2,5/28/2015 5:08:14.933,2,583,2,66.36,1094.15,1094.23,-11.87,8.42
65,EB 2,5/28/2015 5:11:41.923,2,581,1,56.80,206.90,206.99,-8.59,5.51
66,WB,5/28/2015 5:14:05.999,2,583,2,72.23,411.63,411.71,-1.96,8.40
67,WB,5/28/2015 5:15:49.517,2,588,3,65.71,103.44,103.52,0.00,11.53
68,WB,5/28/2015 5:15:51.090,3,605,8,64.95,1.45,1.57,3.22,12.76,13.76
69,WB,5/28/2015 5:21:11.612,2,583,2,61.49,320.24,320.52,-4.78,8.41
70,WB,5/28/2015 5:21:15.076,2,583,2,65.84,3.37,3.46,-4.04,9.19
