Data File:,'13211516 EB 1 2383N.rdf'
Site Code:,'13211516 EB1'
Start Date:,5/28/2015
Start Time:,12:00:00 AM
Sensor Layout:,'52'
Sensor Spacing:,'6.0'
'LOCATION':,'ZONE 11E'
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
1,EB1,5/28/2015 0:14:28.394,2,588,3,53.03,,,1.21,10.83
2,EB1,5/28/2015 0:21:27.330,2,583,2,77.94,418.80,418.94,-20.58,9.72
3,EB1,5/28/2015 0:26:01.907,2,583,2,61.95,274.49,274.58,-0.00,8.40
4,EB1,5/28/2015 0:35:15.217,2,583,2,40.57,553.22,553.31,0.00,8.91
5,EB1,5/28/2015 0:45:35.260,2,583,2,56.14,619.89,620.04,-6.63,9.15
6,EB1,5/28/2015 0:55:51.375,2,583,2,61.95,616.00,616.12,3.47,9.08
7,EB1,5/28/2015 1:17:00.584,3,606,8,38.52,1269.11,1269.21,0.57,6.24,33.95
8,EB1,5/28/2015 1:17:01.249,2,592,4,44.98,0.00,0.67,1.40,29.07
9,EB1,5/28/2015 1:17:01.626,2,600,5,19.41,0.00,0.38,0.00,16.46
10,EB1,5/28/2015 1:22:06.111,5,613,9,44.68,303.91,304.49,-0.00,11.98,4.49,19.89,11.47
11,EB1,5/28/2015 1:32:38.970,3,601,6,66.23,632.13,632.86,10.65,9.42,4.04
12,EB1,5/28/2015 1:33:40.961,2,583,2,47.27,61.85,61.99,-3.20,8.56
13,EB1,5/28/2015 1:38:57.689,2,592,4,40.28,316.60,316.73,5.33,26.26
14,EB1,5/28/2015 1:38:57.972,2,592,4,13.84,0.00,0.28,2.06,30.83
15,EB1,5/28/2015 1:38:58.901,2,600,5,21.85,0.00,0.93,-1.49,18.20
16,EB1,5/28/2015 1:43:34.888,2,600,5,11.52,275.41,275.99,0.49,14.96
17,EB1,5/28/2015 1:43:35.124,2,600,5,19.78,0.00,0.24,1.33,15.05
18,EB1,5/28/2015 1:53:04.241,2,583,2,46.29,568.60,569.12,0.00,9.51
19,EB1,5/28/2015 1:58:35.021,2,583,2,59.11,330.64,330.78,-2.10,8.55
20,EB1,5/28/2015 2:55:35.688,2,583,2,56.80,3420.57,3420.67,3.62,8.96
21,EB1,5/28/2015 2:55:48.013,2,583,2,65.45,12.22,12.33,4.21,8.83
22,EB1,5/28/2015 2:57:02.033,2,588,3,56.80,73.93,74.02,2.41,10.07
23,EB1,5/28/2015 3:05:17.074,2,588,3,57.48,494.92,495.04,0.83,10.05
24,EB1,5/28/2015 3:31:49.992,3,601,6,65.07,1592.80,1592.92,10.25,9.39,3.92
25,EB1,5/28/2015 3:36:38.349,2,583,2,57.38,288.22,288.36,-7.32,8.86
26,EB1,5/28/2015 3:38:49.594,2,600,5,56.04,131.14,131.24,-2.06,14.80
27,EB1,5/28/2015 3:46:09.777,2,588,3,51.24,440.00,440.18,-0.48,12.24
28,EB1,5/28/2015 3:49:28.778,2,583,2,55.21,198.84,199.00,-0.85,8.64
29,EB1,5/28/2015 3:53:51.796,2,583,2,11.33,262.91,263.02,-2.64,6.15
30,EB1,5/28/2015 3:53:52.011,3,601,6,21.71,0.00,0.21,-0.19,14.90,3.62
31,EB1,5/28/2015 3:57:48.635,2,583,2,64.95,236.05,236.62,-12.03,9.69
32,EB1,5/28/2015 4:27:16.988,2,588,3,55.12,1768.25,1768.35,-0.71,10.36
33,EB1,5/28/2015 4:27:35.107,2,600,5,60.82,17.99,18.12,-0.68,14.36
34,EB1,5/28/2015 4:33:46.526,2,583,2,60.71,371.26,371.42,-2.28,8.56
35,EB1,5/28/2015 4:33:53.290,2,583,2,55.76,6.67,6.76,-6.66,8.94
36,EB1,5/28/2015 4:36:08.631,2,583,2,61.60,135.23,135.34,1.15,8.91
37,EB1,5/28/2015 4:37:01.061,2,583,2,71.00,52.33,52.43,-1.77,8.79
38,EB1,5/28/2015 4:39:57.212,2,600,5,65.45,176.07,176.15,1.95,12.63
39,EB1,5/28/2015 4:42:13.749,2,583,2,50.24,136.41,136.54,-5.56,7.85
40,EB1,5/28/2015 4:45:45.202,2,583,2,59.74,211.35,211.45,2.18,8.59
41,EB1,5/28/2015 4:47:25.892,2,588,3,62.99,100.59,100.69,0.90,12.17
42,EB1,5/28/2015 4:56:44.222,2,583,2,63.23,558.20,558.33,1.27,8.74
43,EB1,5/28/2015 4:58:33.829,2,583,2,64.70,109.51,109.61,-1.36,8.71
44,EB1,5/28/2015 5:04:49.307,2,583,2,58.18,375.39,375.48,-2.21,7.76
45,EB1,5/28/2015 5:07:25.940,2,583,2,56.61,156.54,156.63,0.91,8.77
46,EB1,5/28/2015 5:07:34.664,2,583,2,67.70,8.62,8.72,-1.69,8.03
47,EB1,5/28/2015 5:08:28.982,2,583,2,65.71,54.24,54.32,0.00,8.51
48,EB1,5/28/2015 5:08:32.070,2,583,2,58.28,3.00,3.09,-3.37,7.64
49,EB1,5/28/2015 5:09:21.751,2,588,3,58.49,49.59,49.68,9.64,10.28
50,EB1,5/28/2015 5:09:40.046,2,588,3,58.59,18.18,18.29,5.36,11.71
51,EB1,5/28/2015 5:11:13.796,2,583,2,53.03,93.61,93.75,2.25,8.75
52,EB1,5/28/2015 5:14:23.856,2,583,2,58.08,189.95,190.06,0.95,9.06
53,EB1,5/28/2015 5:17:00.187,2,588,3,70.40,156.22,156.33,-2.49,12.18
54,EB1,5/28/2015 5:18:37.343,2,592,4,52.45,97.04,97.16,-1.37,22.70
55,EB1,5/28/2015 5:21:20.526,2,583,2,52.53,162.89,163.18,-5.92,8.41
56,EB1,5/28/2015 5:21:43.905,2,583,2,53.03,23.27,23.38,2.29,8.61
