Data File:,'13211516 WB EB 2 2405N.rdf'
Site Code:,'13211516 WB EB2'
Start Date:,5/28/2015
Start Time:,12:00:00 AM
Sensor Layout:,'51'
Sensor Spacing:,'6.0'
'LOCATION':,'ZONE 11E'
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
1,WB,5/28/2015 0:14:50.324,2,583,2,76.69,,,-10.40,9.33
2,WB,5/28/2015 0:16:46.206,2,583,2,61.15,115.80,115.88,-9.72,8.07
3,WB,5/28/2015 0:18:08.327,9,637,13,63.23,82.03,82.12,-1.61,18.56,4.41,20.08,3.99,4.12,15.01,4.08,4.12
4,WB,5/28/2015 0:20:28.121,2,600,5,71.30,138.99,139.79,0.00,14.02
5,WB,5/28/2015 0:42:33.962,2,583,2,62.76,1325.71,1325.84,-14.39,8.72
6,WB,5/28/2015 0:49:46.060,2,583,2,61.15,432.00,432.10,-10.92,8.92
7,WB,5/28/2015 0:54:06.900,2,583,2,66.10,260.74,260.84,-6.76,9.22
8,WB,5/28/2015 1:17:49.383,2,600,5,58.18,1422.39,1422.48,0.67,12.93
9,WB,5/28/2015 1:21:13.662,4,610,8,65.20,204.13,204.28,0.00,14.49,24.24,5.55
10,EB2,5/28/2015 1:22:04.130,5,613,9,44.68,,,0.25,11.94,4.46,19.91,11.49
11,EB2,5/28/2015 1:23:40.663,2,588,3,62.52,95.80,96.53,0.00,11.62
12,WB,5/28/2015 1:25:57.158,2,583,2,75.99,283.03,283.50,-8.98,8.44
13,EB2,5/28/2015 2:09:52.999,2,583,2,49.50,2772.21,2772.34,-1.15,9.21
14,WB,5/28/2015 2:11:37.044,4,608,8,55.58,2739.81,2739.89,0.90,15.26,4.20,31.21
15,WB,5/28/2015 2:15:06.585,2,583,2,55.58,208.92,209.54,-3.43,8.67
16,WB,5/28/2015 2:16:34.954,2,583,2,57.48,88.26,88.37,-7.06,9.23
17,EB2,5/28/2015 2:23:15.961,2,583,2,56.42,802.83,802.96,-5.37,8.64
18,WB,5/28/2015 2:45:50.498,2,583,2,59.42,1755.43,1755.54,-3.87,9.39
19,WB,5/28/2015 2:45:58.891,3,601,6,69.67,8.29,8.39,6.25,17.54,4.27
20,WB,5/28/2015 2:48:02.210,4,609,8,61.27,123.11,123.32,5.84,11.51,36.33,4.08
21,EB2,5/28/2015 2:52:35.413,2,588,3,63.71,1759.35,1759.45,-8.85,10.01
22,WB,5/28/2015 2:53:02.126,2,600,5,56.04,299.35,299.92,3.06,17.94
