Data File:,'13211524 SB NB 2398N.rdf'
Site Code:,'17A SB NB'
Start Date:,6/11/2015
Start Time:,12:00:00 AM
Sensor Layout:,'51'
Sensor Spacing:,'8.0'
,
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
1,NB,6/11/2015 0:01:35.688,2,588,3,64.57,,,-5.95,11.68
2,SB,6/11/2015 0:01:38.716,7,634,13,59.90,,,0.18,12.37,4.23,24.40,3.92,9.96,22.39
3,NB,6/11/2015 0:02:18.505,2,600,5,74.97,42.69,42.82,1.07,13.01
4,NB,6/11/2015 0:04:06.889,2,583,2,59.66,108.27,108.38,-4.71,8.77
5,NB,6/11/2015 0:06:19.198,2,583,2,71.61,132.21,132.31,-8.90,9.33
6,SB,6/11/2015 0:06:30.631,2,583,2,53.39,291.04,291.92,-2.31,8.58
7,NB,6/11/2015 0:06:31.046,2,588,3,56.85,11.76,11.85,-1.53,11.77
8,SB,6/11/2015 0:06:46.274,2,583,2,41.64,15.53,15.64,-1.88,8.74
9,SB,6/11/2015 0:08:16.391,7,634,13,60.46,89.97,90.12,0.09,12.22,4.23,24.90,3.80,9.93,23.05
10,SB,6/11/2015 0:11:38.404,2,583,2,60.06,201.13,202.01,-5.74,9.75
11,SB,6/11/2015 0:13:43.503,2,583,2,58.56,124.99,125.10,-5.31,9.77
12,NB,6/11/2015 0:15:42.117,2,583,2,53.84,550.93,551.07,-3.66,9.66
13,NB,6/11/2015 0:15:45.215,2,583,2,54.96,2.98,3.10,-1.89,8.62
14,SB,6/11/2015 0:17:13.022,5,627,11,61.89,209.41,209.52,0.23,15.16,21.08,8.87,22.57
15,NB,6/11/2015 0:18:33.730,2,583,2,64.85,168.41,168.52,2.10,8.55
16,NB,6/11/2015 0:19:10.657,2,588,3,67.60,36.84,36.93,-5.22,11.51
17,NB,6/11/2015 0:21:10.938,5,613,9,68.74,120.16,120.28,-0.55,12.30,4.39,36.50,4.25
18,NB,6/11/2015 0:22:58.618,2,583,2,62.41,107.11,107.68,-5.01,9.44
19,NB,6/11/2015 0:24:43.438,2,583,2,67.19,104.72,104.82,7.02,8.63
20,NB,6/11/2015 0:26:09.369,2,588,3,69.93,85.84,85.93,-7.76,11.36
21,NB,6/11/2015 0:27:48.595,2,583,2,77.85,99.12,99.23,-13.98,8.68
22,SB,6/11/2015 0:28:47.728,2,583,2,63.29,693.96,694.71,0.00,8.51
23,NB,6/11/2015 0:29:32.139,2,583,2,66.79,103.47,103.54,-6.73,8.61
24,SB,6/11/2015 0:32:23.107,2,583,2,62.06,215.29,215.38,-3.92,9.92
25,NB,6/11/2015 0:32:31.023,2,583,2,78.53,178.80,178.88,-8.94,8.77
26,SB,6/11/2015 0:33:00.824,2,588,3,62.76,37.61,37.72,-5.56,10.06
27,SB,6/11/2015 0:33:27.538,5,613,9,62.15,26.61,26.71,-0.00,16.12,4.13,32.05,3.90
28,SB,6/11/2015 0:38:30.838,5,613,9,56.63,302.69,303.30,-2.17,18.69,4.33,18.99,3.98
29,NB,6/11/2015 0:41:48.238,7,634,13,53.32,557.14,557.21,0.71,14.00,4.42,15.89,4.24,13.45,19.41
30,NB,6/11/2015 0:41:50.413,6,618,10,51.60,1.26,2.18,-0.47,12.77,4.34,31.95,4.19,4.04
31,NB,6/11/2015 0:42:52.096,2,583,2,49.00,60.92,61.68,-3.95,8.67
32,NB,6/11/2015 0:43:07.242,2,583,2,64.95,15.03,15.15,-8.76,9.06
33,NB,6/11/2015 0:43:12.904,2,583,2,68.96,5.57,5.66,-10.92,8.69
34,NB,6/11/2015 0:43:49.070,2,588,3,75.99,36.08,36.17,-7.66,11.11
