Data File:,'13211526 NB SB2 2391N.rdf'
Site Code:,'17C NB SB2'
Start Date:,6/11/2015
Start Time:,12:00:00 AM
Sensor Layout:,'51'
Sensor Spacing:,'6.0'
,
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
1,NB,6/11/2015 0:01:24.241,2,600,5,17.88,,,4.73,13.97
2,NB,6/11/2015 0:01:24.381,2,600,5,29.27,0.00,0.14,2.75,14.18
3,NB,6/11/2015 0:01:24.430,2,583,2,11.14,0.00,0.05,1.57,7.15
4,SB2,6/11/2015 0:02:28.961,2,583,2,56.51,,,-2.42,9.72
5,NB,6/11/2015 0:06:14.454,2,583,2,40.38,289.59,290.02,-3.08,6.47
6,NB,6/11/2015 0:06:24.634,2,583,2,27.79,10.07,10.18,-0.98,6.63
7,NB,6/11/2015 0:08:02.039,5,613,9,45.85,97.24,97.41,-0.60,9.30,3.41,18.75,10.46
8,NB,6/11/2015 0:08:02.548,2,592,4,43.64,0.00,0.51,5.26,24.37
9,NB,6/11/2015 0:11:23.944,2,583,2,45.66,201.02,201.40,-2.79,7.38
10,NB,6/11/2015 0:13:28.728,2,583,2,44.04,124.67,124.78,-3.95,7.46
11,NB,6/11/2015 0:16:59.131,2,588,3,47.60,210.29,210.40,0.41,11.58
12,NB,6/11/2015 0:16:59.530,3,584,2,47.88,0.23,0.40,-0.20,6.69,17.19
13,SB2,6/11/2015 0:24:54.895,2,583,2,50.70,1345.82,1345.93,6.24,6.50
14,SB2,6/11/2015 0:27:58.302,2,583,2,59.95,183.32,183.41,-5.69,6.56
15,NB,6/11/2015 0:28:34.030,2,583,2,48.15,694.16,694.50,-2.27,6.43
16,NB,6/11/2015 0:32:09.050,2,583,2,46.10,214.93,215.02,-3.95,7.49
17,SB2,6/11/2015 0:32:40.740,2,583,2,60.27,282.36,282.44,-7.15,6.61
18,NB,6/11/2015 0:32:47.130,2,583,2,49.00,37.97,38.08,-2.68,7.62
19,NB,6/11/2015 0:33:13.574,5,613,9,47.40,26.34,26.44,-0.43,12.14,3.37,24.30,3.08
20,NB,6/11/2015 0:38:15.530,3,582,1,12.79,301.34,301.96,-0.54,5.22,5.17
21,NB,6/11/2015 0:38:15.755,3,589,3,27.65,0.00,0.23,1.21,11.32,11.75
22,SB2,6/11/2015 0:42:05.237,2,600,5,27.58,564.42,564.50,0.53,17.63
23,SB2,6/11/2015 0:43:24.274,2,583,2,52.04,78.60,79.04,-14.53,6.54
24,SB2,6/11/2015 0:43:59.323,2,583,2,53.11,34.96,35.05,-9.22,8.30
25,SB2,6/11/2015 0:45:36.810,2,583,2,41.48,97.38,97.49,-3.54,6.95
26,NB,6/11/2015 0:49:06.042,2,583,2,49.14,649.73,650.29,-0.83,6.21
27,NB,6/11/2015 0:54:20.522,2,600,5,17.13,314.39,314.48,-0.13,13.41
28,NB,6/11/2015 0:54:21.104,2,592,4,45.17,0.05,0.58,-4.23,20.94
29,SB2,6/11/2015 0:55:43.832,3,582,1,13.41,606.91,607.02,-0.45,5.25,5.15
30,SB2,6/11/2015 0:55:44.047,3,589,3,28.72,0.00,0.22,2.02,10.68,11.71
31,NB,6/11/2015 1:03:08.506,2,583,2,56.51,527.08,527.40,-7.20,9.66
32,NB,6/11/2015 1:10:15.906,2,600,5,13.41,427.28,427.40,-0.66,12.41
33,SB2,6/11/2015 1:10:15.997,2,592,4,23.70,871.43,871.95,-1.53,21.79
34,NB,6/11/2015 1:10:16.119,3,605,8,28.84,0.00,0.21,1.68,14.29,14.04
35,SB2,6/11/2015 1:10:18.278,2,583,2,43.41,1.65,2.28,0.57,6.25
36,SB2,6/11/2015 1:17:16.501,2,583,2,60.71,418.12,418.22,10.69,6.54
37,NB,6/11/2015 1:17:33.113,2,600,5,28.14,436.35,436.99,2.44,18.13
38,NB,6/11/2015 1:17:51.425,2,583,2,55.03,17.88,18.31,-12.20,6.97
39,NB,6/11/2015 1:19:18.950,2,583,2,44.62,87.44,87.53,-3.96,6.78
40,SB2,6/11/2015 1:21:05.194,2,600,5,25.70,228.62,228.69,0.56,18.96
41,SB2,6/11/2015 1:21:30.786,2,583,2,54.94,25.09,25.59,-6.11,7.03
42,SB2,6/11/2015 1:24:04.713,2,583,2,54.40,153.84,153.93,-5.08,6.85
43,NB,6/11/2015 1:27:20.967,2,600,5,47.47,481.91,482.02,1.09,17.28
44,NB,6/11/2015 1:28:06.417,2,600,5,16.92,45.20,45.45,5.12,19.33
45,NB,6/11/2015 1:28:06.563,2,600,5,24.02,0.00,0.15,-5.42,17.89
46,SB2,6/11/2015 1:28:59.441,2,583,2,43.58,294.64,294.73,0.42,8.62
47,SB2,6/11/2015 1:28:59.629,3,593,4,43.81,0.05,0.19,-1.13,24.51,4.59
48,SB2,6/11/2015 1:35:25.846,2,583,2,54.76,385.77,386.22,-5.35,6.63
49,SB2,6/11/2015 1:39:10.244,2,588,3,44.92,224.32,224.40,0.39,10.32
50,SB2,6/11/2015 1:39:10.641,2,583,2,44.80,0.24,0.40,-2.18,7.15
51,SB2,6/11/2015 1:39:11.004,3,584,2,44.74,0.25,0.36,0.33,6.98,16.70
52,NB,6/11/2015 1:40:46.445,2,600,5,19.95,759.35,759.88,3.59,15.30
53,NB,6/11/2015 1:40:46.561,2,600,5,21.54,0.00,0.12,-2.26,13.69
54,SB2,6/11/2015 1:40:47.042,2,581,1,60.49,95.68,96.04,51.99,4.14
55,NB,6/11/2015 1:44:01.860,3,582,1,14.23,194.86,195.30,-0.87,5.24,5.17
56,NB,6/11/2015 1:44:02.062,3,589,3,30.33,0.00,0.20,2.01,11.40,11.77
57,SB2,6/11/2015 1:46:49.951,2,583,2,48.50,362.86,362.91,-4.48,6.61
58,SB2,6/11/2015 1:47:41.036,2,583,2,49.00,50.99,51.08,-6.11,6.62
59,NB,6/11/2015 1:49:38.362,2,583,2,51.01,335.79,336.30,-1.88,9.20
60,SB2,6/11/2015 1:51:06.805,2,583,2,60.93,205.68,205.77,-8.27,7.06
61,SB2,6/11/2015 1:51:32.858,2,600,5,18.23,25.97,26.05,3.62,14.72
62,SB2,6/11/2015 1:51:33.445,2,583,2,84.63,0.05,0.59,33.63,6.51
63,NB,6/11/2015 1:52:12.685,2,583,2,50.47,154.20,154.32,-3.84,8.68
