Data File:,'13211527 SB 2386N.rdf'
Site Code:,'17D SB1 SB2'
Start Date:,6/11/2015
Start Time:,12:00:00 AM
Sensor Layout:,'51'
Sensor Spacing:,'6.0'
,
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
1,SB1,6/11/2015 0:01:56.238,2,588,3,71.00,,,0.00,11.99
2,SB2,6/11/2015 0:02:36.685,2,600,5,74.64,,,-5.59,12.84
3,SB1,6/11/2015 0:04:29.789,2,583,2,60.49,153.44,153.55,3.26,8.99
4,SB1,6/11/2015 0:06:40.050,2,583,2,63.47,130.16,130.26,-8.11,9.47
5,SB1,6/11/2015 0:06:55.119,2,588,3,57.58,14.97,15.07,1.41,11.94
6,SB1,6/11/2015 0:16:07.172,3,601,6,56.71,551.91,552.05,-9.53,9.97,3.75
7,SB1,6/11/2015 0:16:09.999,2,583,2,55.48,2.66,2.83,-6.78,8.65
8,SB1,6/11/2015 0:18:54.749,2,583,2,65.97,164.64,164.75,-11.43,8.59
9,SB1,6/11/2015 0:19:30.278,2,588,3,69.96,35.44,35.53,-8.58,11.96
10,SB1,6/11/2015 0:21:30.728,2,600,5,69.96,120.33,120.45,9.77,12.58
11,SB2,6/11/2015 0:23:20.398,2,583,2,62.18,1243.60,1243.71,-6.64,9.35
12,SB2,6/11/2015 0:25:03.375,2,583,2,67.84,102.87,102.98,-11.10,8.44
13,SB1,6/11/2015 0:26:30.122,2,588,3,63.11,299.27,299.39,1.90,11.65
14,SB2,6/11/2015 0:28:05.583,2,583,2,77.94,182.12,182.21,-25.34,8.66
15,SB1,6/11/2015 0:29:52.516,2,581,1,69.38,202.27,202.39,-47.36,4.42
16,SB1,6/11/2015 0:29:52.604,2,581,1,68.25,0.05,0.09,-44.14,4.52
17,SB2,6/11/2015 0:32:47.863,2,583,2,81.94,282.20,282.28,-31.47,8.79
18,SB1,6/11/2015 0:42:13.029,8,636,13,56.71,740.38,740.42,-0.90,14.27,3.65,4.46,12.30,4.18,4.02,9.81
19,SB1,6/11/2015 0:42:13.901,2,583,2,57.48,0.24,0.87,-14.79,8.11
20,SB2,6/11/2015 0:42:14.887,6,618,10,60.17,566.95,567.02,-1.47,12.79,4.51,32.01,4.28,4.07
21,SB1,6/11/2015 0:43:20.401,2,583,2,47.81,66.40,66.50,-3.77,8.75
22,SB1,6/11/2015 0:43:28.113,2,583,2,66.89,7.59,7.71,-2.80,9.30
23,SB2,6/11/2015 0:43:32.658,2,583,2,68.53,77.12,77.77,-17.36,8.63
24,SB2,6/11/2015 0:44:08.095,2,588,3,63.47,35.35,35.44,0.00,11.02
25,SB2,6/11/2015 0:45:47.184,2,583,2,55.12,98.97,99.09,-7.02,9.19
26,SB1,6/11/2015 0:49:50.070,5,613,9,59.11,381.86,381.96,-0.91,15.60,4.16,36.74,3.86
27,SB1,6/11/2015 0:51:34.087,2,583,2,64.20,103.34,104.02,-7.45,9.17
28,SB1,6/11/2015 0:52:01.492,3,582,1,73.01,27.31,27.40,1.48,4.92,6.45
29,SB1,6/11/2015 0:52:20.367,3,605,8,57.68,18.77,18.88,1.58,13.86,35.11
30,SB2,6/11/2015 0:55:53.243,8,636,13,62.18,605.94,606.06,-0.15,10.71,8.21,4.79,17.49,4.20,19.38,4.29
31,SB1,6/11/2015 0:55:54.394,3,605,8,52.36,213.45,214.03,-0.57,12.77,9.30
32,SB1,6/11/2015 0:55:55.114,2,583,2,53.45,0.43,0.72,-10.00,8.43
33,SB1,6/11/2015 1:03:03.196,7,623,10,56.32,427.97,428.08,-1.50,16.03,3.72,33.05,3.66,5.14,5.21
