Data File:,'13211528 SB 2388N.rdf'
Site Code:,'17E SB1 SB2'
Start Date:,6/11/2015
Start Time:,12:00:00 AM
Sensor Layout:,'51'
Sensor Spacing:,'6.0'
,
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
1,SB1,6/11/2015 0:02:08.469,2,583,2,39.06,,,-2.41,6.42
2,SB2,6/11/2015 0:02:48.312,2,600,5,77.40,,,4.57,13.47
3,SB1,6/11/2015 0:04:44.347,2,583,2,61.15,155.77,155.88,-13.03,8.92
4,SB1,6/11/2015 0:06:53.615,2,583,2,67.84,129.17,129.27,-21.96,9.49
5,SB1,6/11/2015 0:07:10.405,2,588,3,58.38,16.69,16.79,-0.72,12.04
6,SB1,6/11/2015 0:16:22.627,2,581,1,35.09,552.08,552.22,-2.80,5.99
7,SB1,6/11/2015 0:16:25.815,2,583,2,56.51,3.07,3.19,-8.81,8.74
8,SB1,6/11/2015 0:19:08.141,2,583,2,66.10,162.22,162.33,1.47,8.61
9,SB1,6/11/2015 0:19:43.199,2,588,3,68.25,34.97,35.06,-2.30,12.01
10,SB1,6/11/2015 0:21:43.356,2,600,5,70.55,120.04,120.16,9.97,12.65
11,SB2,6/11/2015 0:23:34.252,2,583,2,65.07,1245.82,1245.94,-7.26,9.80
12,SB2,6/11/2015 0:25:16.130,2,583,2,69.38,101.78,101.88,-12.99,8.78
13,SB1,6/11/2015 0:26:44.012,2,588,3,65.33,300.53,300.66,-5.13,11.72
14,SB2,6/11/2015 0:28:16.840,2,583,2,80.95,180.62,180.71,-22.34,9.05
15,SB1,6/11/2015 0:30:05.491,2,583,2,69.53,201.36,201.48,-30.02,8.79
16,SB1,6/11/2015 0:30:05.533,2,583,2,66.10,0.00,0.04,-10.05,8.62
17,SB2,6/11/2015 0:32:58.239,2,583,2,88.66,281.32,281.40,-22.75,9.13
18,SB1,6/11/2015 0:42:28.635,4,610,8,57.48,743.01,743.10,-0.84,14.36,20.86,4.28
19,SB1,6/11/2015 0:42:28.848,3,605,8,31.80,0.00,0.21,-0.39,19.38,9.02
20,SB1,6/11/2015 0:42:29.147,2,583,2,10.19,0.00,0.30,3.59,7.06
21,SB2,6/11/2015 0:42:30.009,2,581,1,61.72,571.70,571.77,-9.58,4.25
22,SB1,6/11/2015 0:43:43.094,2,583,2,57.29,73.48,73.95,-6.09,9.28
23,SB2,6/11/2015 0:43:46.046,2,583,2,61.83,75.99,76.04,-8.96,9.03
24,SB1,6/11/2015 0:43:47.359,2,600,5,12.79,4.15,4.27,3.52,13.31
25,SB2,6/11/2015 0:44:22.220,2,588,3,60.49,36.07,36.17,0.85,11.41
26,SB2,6/11/2015 0:46:03.467,2,583,2,54.14,101.12,101.25,0.72,9.70
27,SB1,6/11/2015 0:50:04.990,5,613,9,59.42,376.95,377.63,-1.83,15.70,4.21,35.51,3.83
28,SB1,6/11/2015 0:51:47.821,2,583,2,64.82,102.15,102.83,-8.89,9.19
29,SB1,6/11/2015 0:52:04.350,2,583,2,75.14,16.43,16.53,-10.86,8.41
30,SB1,6/11/2015 0:52:13.842,2,588,3,71.46,9.42,9.49,0.00,11.51
31,SB1,6/11/2015 0:52:35.611,5,613,9,58.28,21.66,21.77,2.31,13.99,4.32,30.60,4.96
32,SB1,6/11/2015 0:56:07.285,3,589,3,63.59,211.04,211.67,-9.74,11.15,12.83
33,SB1,6/11/2015 0:56:07.477,2,592,4,74.97,0.00,0.19,-7.87,29.19
34,SB2,6/11/2015 0:56:07.755,2,600,5,31.83,604.17,604.29,1.04,12.42
35,SB1,6/11/2015 0:56:10.785,3,601,6,54.49,3.04,3.31,-0.37,12.93,5.83
