Data File:,'13211529 SB NB 2393N.rdf'
Site Code:,'17F SB NB'
Start Date:,6/11/2015
Start Time:,12:00:00 AM
Sensor Layout:,'51'
Sensor Spacing:,'8.0'
,
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
1,SB,6/11/2015 0:00:18.694,2,588,3,66.99,,,-4.79,12.20
2,SB,6/11/2015 0:03:05.179,2,588,3,64.48,166.36,166.48,-5.99,11.55
3,SB,6/11/2015 0:03:40.264,2,600,5,73.37,34.96,35.08,3.07,12.75
4,NB,6/11/2015 0:04:33.737,2,583,2,54.16,,,-7.03,8.71
5,NB,6/11/2015 0:04:37.681,2,583,2,54.69,3.83,3.94,-5.96,8.85
6,SB,6/11/2015 0:05:49.586,2,583,2,58.87,129.20,129.32,-4.57,8.69
7,NB,6/11/2015 0:06:32.846,7,634,13,61.46,115.05,115.16,-0.10,12.59,4.55,24.89,4.23,9.78,23.46
8,SB,6/11/2015 0:07:52.945,2,583,2,44.20,123.26,123.36,-5.07,9.27
9,SB,6/11/2015 0:08:18.926,2,588,3,55.99,25.84,25.98,-3.47,11.48
10,NB,6/11/2015 0:09:54.011,2,588,3,61.13,200.28,201.17,-8.10,9.96
11,NB,6/11/2015 0:10:32.237,2,583,2,29.87,38.12,38.23,0.81,9.77
12,NB,6/11/2015 0:11:59.087,2,588,3,53.90,86.63,86.85,-6.08,9.94
13,NB,6/11/2015 0:15:31.965,5,627,11,64.11,212.75,212.88,-1.47,15.57,21.31,8.89,22.80
14,SB,6/11/2015 0:17:32.435,2,583,2,53.45,553.37,553.51,-3.63,9.55
15,SB,6/11/2015 0:17:34.766,2,583,2,53.39,2.21,2.33,-2.33,8.51
16,SB,6/11/2015 0:20:08.096,2,583,2,63.83,153.22,153.33,1.02,8.39
17,SB,6/11/2015 0:20:40.680,2,588,3,67.91,32.49,32.58,-6.27,11.30
18,SB,6/11/2015 0:22:39.844,2,588,3,67.91,119.05,119.16,-8.37,12.01
19,SB,6/11/2015 0:24:36.267,2,583,2,61.72,116.30,116.42,-4.91,9.32
20,NB,6/11/2015 0:26:02.233,2,583,2,56.99,629.53,630.27,-7.32,9.74
21,SB,6/11/2015 0:26:15.577,2,583,2,61.38,99.21,99.31,-0.89,8.46
22,NB,6/11/2015 0:27:08.920,2,583,2,64.29,66.57,66.69,2.02,8.69
23,SB,6/11/2015 0:27:43.526,2,588,3,63.56,87.85,87.95,-6.67,11.15
24,SB,6/11/2015 0:29:05.352,2,583,2,77.17,81.71,81.83,-6.94,8.61
25,NB,6/11/2015 0:30:42.225,2,588,3,64.11,213.21,213.31,-5.94,10.04
26,SB,6/11/2015 0:31:03.611,2,583,2,65.71,118.18,118.26,5.51,8.54
27,NB,6/11/2015 0:31:21.788,2,588,3,58.95,39.46,39.56,-5.80,10.26
28,NB,6/11/2015 0:31:46.802,5,613,9,63.20,24.89,25.01,0.58,16.51,4.44,31.96,4.32
29,SB,6/11/2015 0:33:46.073,2,583,2,72.30,162.37,162.46,-9.88,8.64
30,NB,6/11/2015 0:36:39.989,5,613,9,57.36,292.57,293.19,-1.44,18.92,4.49,18.83,4.15
31,NB,6/11/2015 0:36:40.776,2,581,1,57.14,0.23,0.79,-2.90,4.20
32,SB,6/11/2015 0:43:34.478,6,618,10,58.87,588.32,588.41,-0.94,12.57,4.39,31.44,3.95,4.00
33,SB,6/11/2015 0:43:38.412,6,628,12,54.96,3.28,3.93,0.39,13.78,4.05,15.86,17.45,19.05
34,SB,6/11/2015 0:43:38.878,2,592,4,53.13,0.00,0.47,3.31,35.66
35,SB,6/11/2015 0:44:47.887,2,583,2,59.03,68.56,69.01,-5.22,8.93
