Data File:,'13211530 SB NB 2399N.rdf'
Site Code:,'17G SB NB'
Start Date:,6/11/2015
Start Time:,12:00:00 AM
Sensor Layout:,'51'
Sensor Spacing:,'8.0'
,
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
1,SB,6/11/2015 0:00:39.385,2,588,3,69.60,,,-12.35,12.14
2,SB,6/11/2015 0:03:26.677,2,588,3,66.59,167.17,167.29,-5.80,11.51
3,SB,6/11/2015 0:03:59.569,2,600,5,73.61,32.77,32.89,-2.06,12.63
4,NB,6/11/2015 0:04:08.929,2,583,2,53.84,,,-2.95,8.62
5,NB,6/11/2015 0:04:13.088,2,583,2,54.49,4.05,4.16,-3.59,8.79
6,NB,6/11/2015 0:04:28.643,2,588,3,60.14,15.44,15.55,-6.38,10.96
7,NB,6/11/2015 0:04:59.717,2,583,2,58.49,30.95,31.07,-7.96,9.67
8,NB,6/11/2015 0:06:10.974,7,634,13,60.79,71.14,71.26,0.00,12.37,5.24,24.35,4.31,9.69,22.96
9,SB,6/11/2015 0:06:13.563,2,583,2,58.64,133.88,133.99,-4.52,8.68
10,SB,6/11/2015 0:08:44.042,2,588,3,55.92,150.38,150.48,-2.98,11.43
11,NB,6/11/2015 0:09:31.955,2,583,2,60.22,200.10,200.98,-7.88,9.79
12,NB,6/11/2015 0:11:34.581,2,583,2,55.92,122.52,122.63,-5.18,9.80
13,NB,6/11/2015 0:15:10.849,5,627,11,62.23,216.15,216.27,0.70,15.30,21.24,8.72,22.60
14,SB,6/11/2015 0:17:58.536,2,583,2,54.36,554.35,554.49,-1.12,9.34
15,SB,6/11/2015 0:18:01.214,2,583,2,55.58,2.56,2.68,-0.66,8.55
16,SB,6/11/2015 0:20:30.218,2,583,2,63.93,148.90,149.00,-1.02,8.38
17,SB,6/11/2015 0:21:01.535,2,588,3,68.32,31.23,31.32,-6.38,11.30
18,SB,6/11/2015 0:22:59.366,2,588,3,65.42,117.72,117.83,-7.51,10.79
19,SB,6/11/2015 0:23:01.056,4,608,8,66.10,1.58,1.69,-0.71,12.04,4.14,36.39
20,SB,6/11/2015 0:24:59.131,2,583,2,61.80,117.53,118.08,-4.92,9.32
21,NB,6/11/2015 0:25:38.774,2,583,2,56.78,627.18,627.93,-4.30,9.65
22,SB,6/11/2015 0:26:38.007,2,583,2,65.23,98.77,98.88,-1.07,8.49
23,NB,6/11/2015 0:26:48.123,2,583,2,63.65,69.23,69.35,3.96,8.63
24,SB,6/11/2015 0:28:05.028,2,588,3,70.04,86.93,87.02,-6.95,11.18
25,SB,6/11/2015 0:29:23.761,2,583,2,78.67,78.62,78.73,-3.68,8.65
26,NB,6/11/2015 0:30:21.310,2,583,2,62.58,213.09,213.19,-8.02,9.82
27,NB,6/11/2015 0:30:59.360,2,588,3,59.74,37.94,38.05,-2.07,10.06
28,SB,6/11/2015 0:31:25.090,2,583,2,66.00,121.25,121.33,-2.18,8.60
29,NB,6/11/2015 0:31:25.576,5,613,9,62.67,26.10,26.22,-1.26,16.28,4.50,31.88,4.33
30,SB,6/11/2015 0:34:05.688,2,583,2,72.54,160.51,160.60,-7.15,8.66
31,NB,6/11/2015 0:36:16.505,5,613,9,56.92,290.31,290.93,-1.67,18.78,4.57,18.70,4.17
32,NB,6/11/2015 0:36:17.290,2,581,1,56.35,0.23,0.79,7.08,4.18
33,SB,6/11/2015 0:43:58.409,5,613,9,59.66,592.64,592.72,-0.13,12.59,4.33,31.84,3.98
34,SB,6/11/2015 0:44:03.979,6,628,12,55.51,4.97,5.57,0.00,13.84,3.97,16.31,17.34,19.21
35,SB,6/11/2015 0:44:04.447,2,592,4,53.39,0.00,0.47,5.14,36.27
