Data File:,'13211531 NB SB 2385N.rdf'
Site Code:,'17H NB SB'
Start Date:,6/11/2015
Start Time:,12:00:00 AM
Sensor Layout:,'51'
Sensor Spacing:,'8.0'
,
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
1,SB,6/11/2015 0:01:30.071,2,600,5,71.72,,,-10.55,12.30
2,NB,6/11/2015 0:03:00.536,2,583,2,52.51,,,0.00,8.45
3,NB,6/11/2015 0:03:01.987,2,583,2,51.54,1.34,1.45,-7.16,8.58
4,NB,6/11/2015 0:03:28.859,2,583,2,39.20,26.76,26.87,4.13,7.31
5,NB,6/11/2015 0:04:00.347,2,581,1,63.83,31.36,31.49,35.23,4.27
6,SB,6/11/2015 0:04:20.193,2,588,3,66.00,170.01,170.12,-6.38,11.63
7,SB,6/11/2015 0:04:48.105,2,600,5,74.23,27.79,27.91,-7.18,12.86
8,NB,6/11/2015 0:05:10.345,6,629,12,60.14,69.95,70.00,-0.46,12.11,28.67,3.63,14.05,19.30
9,NB,6/11/2015 0:05:10.528,2,581,1,11.08,0.00,0.18,1.10,5.99
10,SB,6/11/2015 0:07:12.568,2,583,2,63.29,144.34,144.46,-0.94,8.79
11,NB,6/11/2015 0:08:30.864,2,583,2,59.03,199.96,200.34,-5.53,9.62
12,SB,6/11/2015 0:09:47.913,2,588,3,56.21,155.25,155.34,-3.96,11.58
13,NB,6/11/2015 0:10:28.909,2,583,2,55.37,117.93,118.05,-3.99,9.64
14,NB,6/11/2015 0:14:10.855,5,627,11,62.58,221.83,221.95,0.85,15.04,20.90,8.77,22.54
15,SB,6/11/2015 0:18:58.495,2,583,2,61.55,550.44,550.58,-3.93,9.64
16,SB,6/11/2015 0:19:01.318,2,583,2,59.90,2.72,2.82,-3.25,8.60
17,SB,6/11/2015 0:21:23.880,2,583,2,75.86,142.46,142.56,-5.05,8.45
18,SB,6/11/2015 0:21:54.260,2,588,3,68.96,30.30,30.38,-12.83,11.37
19,SB,6/11/2015 0:23:54.664,2,588,3,65.33,120.29,120.40,-7.44,10.86
20,SB,6/11/2015 0:23:57.056,5,613,9,64.11,2.28,2.39,0.76,12.22,4.39,36.66,4.24
21,NB,6/11/2015 0:25:50.269,2,583,2,62.58,698.68,699.41,1.92,8.40
22,SB,6/11/2015 0:25:57.029,2,583,2,62.06,119.36,119.97,-8.96,9.41
23,SB,6/11/2015 0:27:33.637,2,583,2,63.83,96.50,96.61,2.99,8.61
24,SB,6/11/2015 0:28:58.735,2,588,3,65.14,85.01,85.10,-6.28,11.36
25,NB,6/11/2015 0:29:22.541,2,583,2,62.76,212.18,212.27,-4.93,9.75
26,NB,6/11/2015 0:29:59.560,2,583,2,62.06,36.91,37.02,-4.68,9.94
27,SB,6/11/2015 0:30:09.805,2,583,2,78.12,70.95,71.07,-7.15,8.67
28,NB,6/11/2015 0:30:26.696,6,618,10,61.55,27.03,27.14,0.78,15.88,3.89,32.14,3.83,4.18
29,SB,6/11/2015 0:32:19.334,2,583,2,66.39,129.45,129.53,0.00,8.73
30,SB,6/11/2015 0:35:03.089,2,583,2,66.20,163.67,163.76,-8.57,8.73
31,NB,6/11/2015 0:35:11.627,8,636,13,55.72,284.27,284.93,-0.58,18.40,3.52,4.54,14.97,3.93,19.08,3.95
32,SB,6/11/2015 0:44:59.131,6,618,10,59.18,595.95,596.04,-0.71,12.71,4.42,31.73,4.25,3.98
33,SB,6/11/2015 0:45:09.100,8,636,13,55.10,9.31,9.97,-0.51,13.89,4.45,15.68,4.28,13.30,19.12,4.23
34,SB,6/11/2015 0:46:04.566,2,583,2,70.26,54.54,55.47,-11.50,8.72
