Data File:,'13211532 NB SB 2392N.rdf'
Site Code:,'17I NB SB'
Start Date:,6/11/2015
Start Time:,12:00:00 AM
Sensor Layout:,'51'
Sensor Spacing:,'8.0'
,
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
1,SB,6/11/2015 0:00:09.280,5,613,9,59.26,,,-0.12,17.21,4.49,32.21,4.19
2,NB,6/11/2015 0:01:17.646,2,583,2,53.32,,,-2.88,8.56
3,NB,6/11/2015 0:01:31.828,2,583,2,60.88,14.07,14.18,-1.69,8.71
4,NB,6/11/2015 0:01:56.062,2,588,3,59.82,24.14,24.23,-3.82,10.89
5,NB,6/11/2015 0:02:31.584,2,583,2,61.04,35.40,35.52,3.92,9.62
6,SB,6/11/2015 0:02:53.346,2,600,5,63.83,163.40,164.07,0.00,12.62
7,NB,6/11/2015 0:03:39.175,6,617,10,59.90,67.48,67.59,0.63,12.21,4.12,3.63,21.29,3.77
8,NB,6/11/2015 0:03:39.455,2,581,1,12.51,0.00,0.28,1.97,5.06
9,SB,6/11/2015 0:05:48.609,2,588,3,60.79,175.13,175.26,-4.95,11.72
10,SB,6/11/2015 0:06:03.855,2,600,5,74.10,15.11,15.25,7.36,12.92
11,NB,6/11/2015 0:06:59.168,2,583,2,60.06,199.43,199.71,-5.76,9.71
12,NB,6/11/2015 0:08:45.907,2,583,2,52.94,106.63,106.74,-3.95,9.73
13,SB,6/11/2015 0:08:46.739,2,583,2,58.87,162.76,162.88,-5.97,8.84
14,SB,6/11/2015 0:11:27.136,2,588,3,56.71,160.30,160.40,-0.51,11.73
15,NB,6/11/2015 0:12:40.440,5,627,11,61.29,234.41,234.53,-0.11,15.17,21.07,8.69,22.44
16,NB,6/11/2015 0:17:20.260,2,583,2,59.26,279.07,279.82,-2.78,9.76
17,SB,6/11/2015 0:20:30.886,2,583,2,59.90,543.61,543.75,-7.14,9.68
18,SB,6/11/2015 0:20:34.369,2,583,2,60.06,3.37,3.48,-3.27,8.62
19,SB,6/11/2015 0:22:38.919,2,583,2,75.99,124.45,124.55,5.04,8.64
20,NB,6/11/2015 0:22:56.633,2,583,2,56.71,336.26,336.37,-1.87,9.57
21,SB,6/11/2015 0:23:18.156,2,588,3,63.47,39.16,39.24,-5.04,11.49
22,NB,6/11/2015 0:24:23.653,2,583,2,63.56,86.91,87.02,1.00,8.41
23,SB,6/11/2015 0:25:23.911,2,588,3,61.21,125.63,125.76,-9.25,11.07
24,SB,6/11/2015 0:25:25.552,5,613,9,59.50,1.52,1.64,-0.12,12.29,4.38,36.49,4.14
25,SB,6/11/2015 0:27:27.102,2,583,2,62.76,120.89,121.55,-7.56,9.47
26,NB,6/11/2015 0:27:53.838,2,583,2,62.15,210.09,210.18,-3.97,9.83
27,NB,6/11/2015 0:28:31.365,2,588,3,61.63,37.42,37.53,-6.77,10.03
28,NB,6/11/2015 0:28:58.499,5,613,9,62.41,27.02,27.13,-0.57,16.01,4.25,31.84,4.04
29,SB,6/11/2015 0:29:03.877,2,583,2,59.34,96.67,96.78,0.00,8.59
30,SB,6/11/2015 0:30:26.243,2,588,3,63.65,82.27,82.37,-5.13,11.39
31,SB,6/11/2015 0:31:20.271,2,583,2,77.58,53.91,54.03,7.09,8.74
32,NB,6/11/2015 0:33:34.320,8,636,13,56.78,275.21,275.82,-0.17,18.54,4.10,3.49,15.58,4.02,19.37,4.00
33,SB,6/11/2015 0:33:44.050,2,583,2,66.89,143.70,143.78,-8.91,8.67
34,SB,6/11/2015 0:43:06.291,2,583,2,66.30,562.15,562.24,-8.59,8.76
35,NB,6/11/2015 0:45:03.724,2,583,2,63.20,688.58,689.40,-9.11,8.03
