Data File:,'13211533 SB NB 2359.rdf'
Site Code:,'17J SB NB'
Start Date:,6/11/2015
Start Time:,12:00:00 AM
Sensor Layout:,'51'
Sensor Spacing:,'8.0'
,
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
1,NB,6/11/2015 0:00:07.608,2,583,2,61.55,,,0.00,8.86
2,NB,6/11/2015 0:00:29.760,2,588,3,61.04,22.05,22.15,0.00,10.89
3,NB,6/11/2015 0:01:09.103,2,583,2,62.58,39.22,39.34,-4.93,9.67
4,SB,6/11/2015 0:01:36.856,5,613,9,64.76,,,1.90,17.05,4.46,32.07,4.14
5,NB,6/11/2015 0:02:14.711,7,634,13,60.55,65.50,65.61,-0.55,12.21,4.21,25.19,4.20,9.88,22.78
6,SB,6/11/2015 0:04:20.010,2,600,5,65.91,162.55,163.15,0.00,13.10
7,NB,6/11/2015 0:05:33.298,2,583,2,59.58,197.70,198.59,0.00,9.86
8,NB,6/11/2015 0:07:11.460,2,583,2,55.99,98.05,98.16,-6.82,9.91
9,SB,6/11/2015 0:07:13.401,2,588,3,74.47,173.26,173.39,0.00,12.00
10,SB,6/11/2015 0:07:19.517,2,600,5,76.78,6.01,6.12,-6.71,13.09
11,SB,6/11/2015 0:10:21.930,2,583,2,59.58,182.30,182.41,0.00,9.02
12,NB,6/11/2015 0:11:14.376,5,627,11,60.55,242.80,242.92,-0.63,15.22,21.34,8.96,22.52
13,SB,6/11/2015 0:13:05.447,2,588,3,57.73,163.41,163.52,12.93,12.29
14,NB,6/11/2015 0:15:54.408,2,583,2,60.55,279.26,280.03,4.47,9.89
15,NB,6/11/2015 0:21:25.235,2,583,2,56.42,330.72,330.83,3.69,9.70
16,SB,6/11/2015 0:22:08.277,2,583,2,64.20,542.69,542.83,5.93,8.90
17,NB,6/11/2015 0:23:02.624,2,583,2,63.11,97.27,97.39,0.00,8.47
18,SB,6/11/2015 0:24:00.277,2,583,2,73.74,111.91,112.00,-8.93,8.71
19,SB,6/11/2015 0:24:47.443,2,588,3,72.30,47.09,47.17,-17.74,12.06
20,NB,6/11/2015 0:26:31.029,2,583,2,64.20,208.31,208.40,-15.19,9.91
21,SB,6/11/2015 0:26:56.235,2,588,3,63.65,128.68,128.79,-8.91,11.12
22,SB,6/11/2015 0:26:58.312,5,613,9,65.91,1.96,2.08,-3.62,12.52,4.50,36.94,4.13
23,NB,6/11/2015 0:27:08.650,2,588,3,61.55,37.52,37.62,0.00,10.12
24,NB,6/11/2015 0:27:35.991,5,613,9,62.06,27.23,27.34,-0.83,16.00,4.40,31.60,4.22
25,SB,6/11/2015 0:28:57.406,2,583,2,65.91,118.47,119.09,5.89,9.71
26,SB,6/11/2015 0:31:55.531,2,588,3,66.49,178.02,178.12,10.13,11.75
27,NB,6/11/2015 0:32:02.891,6,620,10,57.73,266.28,266.90,-3.12,18.79,4.43,18.61,23.27,3.86
28,SB,6/11/2015 0:32:12.488,2,583,2,60.55,16.84,16.96,-4.88,8.84
29,SB,6/11/2015 0:32:34.142,2,583,2,83.68,21.56,21.65,-12.51,9.07
30,SB,6/11/2015 0:35:08.813,2,583,2,68.96,154.60,154.67,-7.11,8.96
31,NB,6/11/2015 0:43:46.321,2,583,2,71.61,702.61,703.43,-8.74,8.15
32,SB,6/11/2015 0:44:22.134,2,583,2,87.62,553.23,553.32,14.61,9.23
33,SB,6/11/2015 0:48:07.615,5,615,9,60.55,225.41,225.48,-1.47,13.01,36.58,4.01,4.27
34,NB,6/11/2015 0:48:29.342,6,628,12,60.55,282.94,283.02,-0.56,12.40,4.37,27.73,12.22,18.77
