Data File:,'13211534 SB 2363.rdf'
Site Code:,'17K SB1 SB2'
Start Date:,6/11/2015
Start Time:,12:00:00 AM
Sensor Layout:,'67'
Sensor Spacing:,'6.0','2.0'
,
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
1,SB2,6/11/2015 0:01:44.804,4,608,8,68.12,,,-8.40,17.15,4.38,31.62
2,SB2,6/11/2015 0:04:28.346,2,600,5,63.47,162.99,163.54,5.43,12.58
3,SB2,6/11/2015 0:07:20.447,2,588,3,68.12,171.97,172.10,0.00,11.78
4,SB2,6/11/2015 0:07:26.161,2,600,5,75.48,5.60,5.71,8.80,13.10
5,SB2,6/11/2015 0:10:31.156,2,583,2,57.58,184.88,185.00,5.79,8.80
6,SB2,6/11/2015 0:13:15.056,2,588,3,55.85,163.80,163.90,8.06,11.70
7,SB2,6/11/2015 0:22:13.742,2,583,2,61.38,538.54,538.69,6.44,9.58
8,SB2,6/11/2015 0:22:16.592,2,583,2,63.47,2.74,2.85,-7.70,8.58
9,SB2,6/11/2015 0:24:07.523,2,583,2,67.29,110.84,110.93,0.00,8.46
10,SB2,6/11/2015 0:24:54.899,2,588,3,68.96,47.29,47.38,-0.00,11.56
11,SB2,6/11/2015 0:27:04.945,2,588,3,62.06,129.93,130.05,5.79,11.03
12,SB2,6/11/2015 0:27:06.725,2,588,3,62.76,1.66,1.78,-15.48,11.97
13,SB2,6/11/2015 0:29:05.463,2,583,2,65.71,118.61,118.74,-7.64,9.58
14,SB2,6/11/2015 0:32:03.511,2,588,3,64.95,177.95,178.05,-6.23,11.34
15,SB2,6/11/2015 0:32:21.048,2,583,2,63.47,17.42,17.54,0.00,8.52
16,SB2,6/11/2015 0:32:40.072,2,583,2,79.79,18.93,19.02,0.00,8.74
17,SB2,6/11/2015 0:35:16.568,2,583,2,66.49,156.42,156.50,0.00,8.57
18,SB2,6/11/2015 0:48:16.618,5,615,9,59.42,779.96,780.05,0.98,12.41,35.01,3.95,4.22
19,SB2,6/11/2015 0:48:42.824,8,636,13,53.71,25.55,26.21,0.56,13.33,4.37,15.81,4.11,13.37,19.07,4.03
20,SB2,6/11/2015 0:48:51.382,2,583,2,69.82,7.63,8.56,0.00,8.63
21,SB2,6/11/2015 0:49:18.376,2,583,2,64.20,26.91,26.99,0.00,9.10
22,SB2,6/11/2015 0:49:32.028,2,588,3,60.06,13.56,13.65,10.66,11.02
23,SB2,6/11/2015 0:52:15.737,2,583,2,55.30,163.58,163.71,4.86,9.28
24,SB2,6/11/2015 0:53:35.733,2,583,2,55.85,79.88,80.00,0.00,8.70
25,SB2,6/11/2015 0:56:01.206,5,613,9,56.42,145.37,145.47,0.84,14.77,4.39,34.35,4.09
26,SB2,6/11/2015 0:57:15.724,2,583,2,62.06,73.84,74.52,7.13,8.95
27,SB2,6/11/2015 0:57:19.895,2,583,2,64.20,4.07,4.17,0.00,8.21
28,SB2,6/11/2015 0:57:34.362,2,588,3,64.20,14.38,14.47,-6.09,11.21
29,SB2,6/11/2015 0:58:37.467,6,618,10,55.30,62.99,63.10,1.60,13.21,4.15,29.46,4.99,5.16
30,SB2,6/11/2015 1:01:46.815,8,636,13,58.18,188.65,189.35,-2.22,10.55,8.06,4.52,17.20,4.09,18.92,3.93
31,SB2,6/11/2015 1:02:21.642,5,614,9,54.76,34.03,34.83,-1.55,12.59,5.59,4.22,31.38
32,SB2,6/11/2015 1:09:32.024,6,618,10,54.23,429.70,430.38,0.00,15.37,4.30,31.00,5.00,5.01
33,SB2,6/11/2015 1:13:30.576,2,588,3,76.51,237.79,238.55,0.00,10.52
