Data File:,'13211535 SB NB 2401N.rdf'
Site Code:,'17L SB NB'
Start Date:,6/11/2015
Start Time:,12:00:00 AM
Sensor Layout:,'51'
Sensor Spacing:,'8.0'
,
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
1,SB,6/11/2015 0:00:14.802,2,583,2,65.23,,,-7.09,8.86
2,NB,6/11/2015 0:02:58.776,2,583,2,59.58,,,-7.65,9.77
3,SB,6/11/2015 0:03:51.542,4,608,8,66.00,216.65,216.74,0.00,17.13,4.29,32.77
4,NB,6/11/2015 0:04:32.291,2,583,2,61.89,93.40,93.51,-8.56,9.77
5,SB,6/11/2015 0:06:36.181,2,600,5,63.29,164.09,164.64,-0.67,12.48
6,NB,6/11/2015 0:08:43.367,5,627,11,61.89,250.97,251.08,0.46,15.21,21.07,8.81,22.58
7,SB,6/11/2015 0:09:10.993,2,600,5,73.61,154.68,154.81,-6.10,12.70
8,SB,6/11/2015 0:09:14.418,2,588,3,73.49,3.31,3.42,-8.82,11.60
9,SB,6/11/2015 0:12:49.642,2,583,2,58.49,215.12,215.22,-3.71,8.76
10,NB,6/11/2015 0:13:18.684,2,583,2,57.66,274.57,275.32,-6.33,9.75
11,SB,6/11/2015 0:15:38.276,2,588,3,56.63,168.53,168.63,-3.55,11.60
12,NB,6/11/2015 0:18:41.527,2,583,2,56.42,322.73,322.84,-7.22,9.57
13,NB,6/11/2015 0:20:34.932,2,583,2,61.63,113.29,113.41,0.00,8.53
14,NB,6/11/2015 0:24:05.951,2,583,2,64.20,210.92,211.02,-6.95,9.83
15,SB,6/11/2015 0:24:27.003,2,583,2,59.66,528.59,528.73,-5.03,9.56
16,SB,6/11/2015 0:24:30.716,2,583,2,60.46,3.60,3.71,1.70,8.59
17,NB,6/11/2015 0:24:35.642,2,588,3,60.06,29.59,29.69,-6.27,10.02
18,NB,6/11/2015 0:25:06.989,5,613,9,61.89,31.23,31.35,0.28,16.07,4.43,31.57,4.26
19,SB,6/11/2015 0:26:15.158,2,583,2,63.29,104.35,104.44,0.98,8.49
20,SB,6/11/2015 0:26:53.770,2,588,3,69.71,38.52,38.61,-4.81,11.43
21,SB,6/11/2015 0:29:13.651,4,608,8,63.93,139.77,139.88,0.00,12.20,4.07,37.14
22,SB,6/11/2015 0:29:16.314,2,588,3,63.02,2.10,2.66,-4.47,10.89
23,NB,6/11/2015 0:29:21.366,5,613,9,57.58,253.76,254.38,0.27,18.56,4.52,18.60,4.17
24,NB,6/11/2015 0:29:22.135,2,581,1,57.66,0.23,0.77,-4.48,4.19
25,SB,6/11/2015 0:31:10.520,2,583,2,64.67,114.09,114.21,-4.67,9.40
26,SB,6/11/2015 0:34:00.212,2,588,3,68.43,169.59,169.69,-6.36,11.39
27,SB,6/11/2015 0:34:27.013,2,583,2,56.99,26.69,26.80,2.16,8.50
28,SB,6/11/2015 0:34:28.292,2,583,2,60.06,1.18,1.28,-5.65,8.68
29,SB,6/11/2015 0:37:18.058,2,583,2,66.79,169.67,169.77,-4.49,8.64
30,NB,6/11/2015 0:41:34.313,2,583,2,67.40,732.13,732.18,-2.43,8.24
31,NB,6/11/2015 0:45:53.778,5,615,9,59.98,259.38,259.46,1.51,12.34,33.00,4.21,8.29
32,SB,6/11/2015 0:46:02.931,2,583,2,78.67,524.78,524.87,-10.64,8.87
33,SB,6/11/2015 0:50:32.493,6,618,10,59.82,269.48,269.56,-1.21,12.70,4.05,32.32,4.15,4.02
34,SB,6/11/2015 0:50:45.874,2,583,2,70.70,12.73,13.38,-5.28,8.71
